loan_id,loan_number,customer_id,account_id,loan_type,origination_date,maturity_date,term_months,original_amount,outstanding_balance,interest_rate,monthly_instalment,loan_status,days_past_due,arrears_amount,collateral_type,collateral_value,ltv_ratio,purpose,disbursement_date,next_payment_date,last_payment_date,last_payment_amount,provision_rate,origination_channel,origination_officer_id
916afd6c-9fc2-4584-a0ca-242017274ac4,PCB-LOAN-201607-156010,081f8c64-539d-4d69-9af4-6afab4860f5c,85f77032-c13f-4b2b-a843-252a3ae2b02b,Business Loan,2016-07-18,2019-07-03,36,1607364.64,935039.18,0.1448,55311.39,61-90 DPD,78,110622.78,Cession,3202117.0272226855,,Working Capital,2016-07-21,2017-08-12,2017-07-13,53324.54,0.75,Branch,OFC9648
394debec-fe99-4a88-ba5e-ecf2538fcd76,PCB-LOAN-201904-203829,c978e671-abb7-4632-8b23-ab955c9acf81,d18e1089-a842-43b7-969c-6d1d1f295c36,Vehicle Finance,2019-04-19,2026-03-13,84,545342.11,63124.72,0.121,9655.97,Current,0,0.0,Vehicle,764855.69,0.713,Private Vehicle,2019-04-24,2025-04-17,2025-03-18,9469.04,0.0,Online,OFC3063
cc161764-cd6c-4ff0-8b3a-0f36c8691fd2,PCB-LOAN-201810-836057,77c7f50d-d85a-43d0-9048-612057f39580,890d6933-e1ac-4fde-aec7-484b304f8948,Revolving Credit,2018-10-30,2019-10-25,12,9450.47,2883.51,0.1535,854.55,Current,0,0.0,None,0.0,,Emergency,2018-11-04,2019-06-27,2019-05-28,821.57,0.0,Branch,OFC9536
d03e994b-b146-4512-87ed-453042b3aaba,PCB-LOAN-201702-616302,ad3dff39-64c0-46e4-b8c4-a173a501b2a0,5b5f21b2-e6c6-4913-99f8-dfe5d572f88a,Business Loan,2017-02-25,2018-02-20,12,1802136.0,277596.94,0.1754,164825.55,Current,0,0.0,Cession,2625828.5487385592,,Expansion,2017-02-28,2017-12-22,2017-11-22,165149.31,0.0,Branch,OFC3304
986e356c-4e24-4a89-98e2-bee1faefd7e0,PCB-LOAN-201811-179865,e417ee31-9fd2-4d0e-9e0a-8c66465bdcf4,67c48576-0fee-454f-95b1-e06ea922bd90,Personal Loan,2018-11-27,2019-11-22,12,256367.29,196529.83,0.1764,23459.85,Current,0,0.0,None,0.0,,Medical,2018-11-30,2019-01-26,2018-12-27,22803.99,0.0,Call Centre,OFC9439
664e67ba-a8ef-4de2-8897-76d6bff3603d,PCB-LOAN-202110-320515,f555d33d-f80b-4502-ab66-8e64ef1b51f0,5d4df3a3-420b-4f1f-8676-c915f882f32d,Personal Loan,2021-10-30,2023-10-20,24,185264.14,168741.5,0.1698,9158.1,Current,0,0.0,None,0.0,,Holiday,2021-11-03,2021-11-29,2021-10-30,8723.95,0.0,Broker,OFC1339
571b458a-0284-4111-aff1-2c7d28a5d245,PCB-LOAN-201912-402857,b3d39bd1-cd6f-46d9-a1c7-e921bcb43550,4e316786-c92d-4ee4-8e78-5d3e4012946b,Home Loan,2019-12-20,2029-10-28,120,2699545.83,2395234.43,0.1146,37892.63,Current,0,0.0,Property,3546434.35,0.7612,Primary Residence,2019-12-24,2020-08-16,2020-07-17,39310.14,0.0,Mobile,OFC9852
805de2d3-b2e6-4316-836f-cdea69b06c43,PCB-LOAN-202106-117874,d4666d26-f79c-4fef-88f9-91e5cb50d26c,aa7010c4-c3f4-4a08-b6db-f1f90c370670,Vehicle Finance,2021-06-06,2025-05-16,48,340339.38,301080.95,0.1128,8842.6,1-30 DPD,1,0.0,Vehicle,426437.01,0.7981,Motorbike,2021-06-08,2021-11-03,2021-10-04,8891.5,0.25,Mobile,OFC3171
68187ffe-5e30-4b77-985f-b7ff22083daa,PCB-LOAN-202310-276109,d431baaa-bbd0-4a79-983a-6f5d7e41b0be,80c51405-b024-45d8-a31d-77e7d67cbe67,Personal Loan,2023-10-07,2024-10-01,12,387373.25,249379.7,0.1656,35249.44,Current,0,0.0,Cession,0.0,,Debt Consolidation,2023-10-12,2024-01-05,2023-12-06,34264.4,0.0,Online,OFC7000
0b18bb44-df42-46bf-baa4-16644ac8d44a,PCB-LOAN-202008-459603,459d70ae-5ef9-4801-b372-a47c6f8b9336,f2e0e2d9-22b9-4ce9-99c1-ecf9a4a03100,Vehicle Finance,2020-08-25,2026-07-25,72,283445.73,32351.84,0.1581,6118.85,Current,0,0.0,Vehicle,316204.52,0.8964,Motorbike,2020-08-27,2025-10-28,2025-09-28,6123.14,0.0,Online,OFC8754
74c50fa3-4c82-4878-9f6e-57f9441efa61,PCB-LOAN-202401-132751,1b11cb58-1fc0-4e6b-862b-67d24124c2ba,cd0214f0-8fd3-44db-82b3-f0954e4b8abe,Home Loan,2024-01-21,2038-11-03,180,2813078.86,1366624.53,0.1176,33328.54,Current,0,0.0,Property,3462677.08,0.8124,Land Purchase,2024-01-25,2031-08-12,2031-07-13,32425.79,0.0,Broker,OFC6643
bb8e1214-7d18-4034-9637-f555731f464b,PCB-LOAN-202004-696310,3d67fcbd-6beb-4aed-b77d-5e1e53dd0cb2,3882ede9-0650-4117-b505-04f03140d409,Home Loan,2020-04-15,2030-02-22,120,2845877.45,2749748.62,0.0966,37074.72,Current,0,0.0,Property,3552018.78,0.8012,Investment Property,2020-04-18,2020-08-13,2020-07-14,37338.34,0.0,Broker,OFC1043
efa70c6c-2dbf-487b-b5f5-c6953897546e,PCB-LOAN-202305-954349,f57764d2-0f1d-4b35-81f2-6587b8513e24,3325c974-6ea9-4ca6-aa22-45306b7c9639,Vehicle Finance,2023-05-09,2028-04-12,60,544812.04,401908.64,0.1608,13271.94,Current,0,0.0,Vehicle,751775.96,0.7247,Commercial Vehicle,2023-05-13,2024-03-04,2024-02-03,12815.52,0.0,Online,OFC9606
a12d4db6-5724-4bb4-8262-a494e3ff7b2c,PCB-LOAN-202202-977321,85ad99d1-6a69-48ec-9dab-cef2a6e2dc73,565958dc-8f13-437c-a130-b874a0b9f288,Vehicle Finance,2022-02-14,2029-01-08,84,586344.67,167020.33,0.1517,11370.55,Current,0,0.0,Vehicle,701704.97,0.8356,Motorbike,2022-02-17,2026-09-21,2026-08-22,10836.7,0.0,Branch,OFC2789
eb88298b-c6b2-418c-9600-90d6643ea2d4,PCB-LOAN-202209-511943,1290affb-ecab-4eb6-867d-b61a9ccbe467,63762b8a-fa67-4a15-8c27-e38c6bf1cc7b,Personal Loan,2022-09-14,2026-08-24,48,21846.67,1262.12,0.2656,743.51,Current,0,0.0,Cession,0.0,,Home Renovation,2022-09-18,2026-05-26,2026-04-26,724.34,0.0,Branch,OFC8935
466ab71c-c80a-4254-9dfa-678f5c7cb91a,PCB-LOAN-202212-120247,356fae70-133b-4719-9a47-5675f16f7ab2,0711439d-637c-496f-8e8a-a791ef4686fc,Vehicle Finance,2022-12-28,2029-11-21,84,186882.59,55982.48,0.1475,3580.07,Current,0,0.0,Vehicle,256319.56,0.7291,Motorbike,2023-01-01,2027-09-03,2027-08-04,3658.73,0.0,Broker,OFC4661
6c918161-7fd3-4d84-b245-b8383be0f5f1,PCB-LOAN-202103-193146,0a384245-7e7b-4b1a-a2ea-24375a52e344,0fdbb001-3f98-4b4d-859e-decb73e2312b,Home Loan,2021-03-20,2045-11-09,300,2124461.17,1387857.99,0.1238,22974.14,Current,0,0.0,Property,3021133.63,0.7032,Primary Residence,2021-03-21,2029-02-06,2029-01-07,23209.93,0.0,Branch,OFC9560
6d2d1a8c-aa1c-4069-a1c6-beffd9b6f9b8,PCB-LOAN-201606-110239,13e73d20-b6c4-4bc0-9cd5-546497a8703b,271fa06d-42e8-4b86-915b-822b170ce753,Home Loan,2016-06-20,2046-01-14,360,2061420.9,1009386.1,0.0936,17123.37,Current,0,0.0,Property,2690798.72,0.7661,Primary Residence,2016-06-24,2029-12-09,2029-11-09,17116.2,0.0,Branch,OFC5118
adfef619-ada9-4c0d-ad30-52ead8d9d3eb,PCB-LOAN-202104-232017,85ce4f3b-c7f7-4a94-bb92-3bd49ee0b3b2,cd0e5197-ffee-4c5c-98a5-8e378e49a22c,Personal Loan,2021-04-18,2022-04-13,12,64323.88,25889.43,0.1521,5812.14,Current,0,0.0,None,0.0,,Medical,2021-04-22,2021-11-14,2021-10-15,6033.62,0.0,Broker,OFC8724
d883d6c5-1e92-4868-b996-76404e65986f,PCB-LOAN-202205-552797,35e59c7c-9a46-4988-8fc4-2599a32bcf51,1bcf2566-faba-4595-83df-25bc79ecb26e,Business Loan,2022-05-28,2027-05-02,60,336438.0,250478.52,0.1846,8627.73,Current,0,0.0,Cession,360336.00442617666,,Expansion,2022-06-01,2023-08-21,2023-07-22,8891.16,0.0,Mobile,OFC8380
fe21a469-8b7d-4028-85e4-da37e8f946cc,PCB-LOAN-202109-469666,ba099f63-97fe-4ebb-a93d-48ccaac8e11d,7faf07d7-47e1-4410-b6a9-5a6c4ec4caa4,Home Loan,2021-09-26,2051-04-22,360,1731563.21,110454.36,0.1109,16607.95,NPL,133,66431.8,Property,2656994.34,0.6517,Holiday Home,2021-09-27,2049-03-03,2049-02-01,16678.03,1.0,Online,OFC1184
c9069e81-5ef3-423f-b44e-8e43fbe59d49,PCB-LOAN-202103-380699,10f4743d-14ec-4cd9-9831-c0c4275e0624,4cb484f0-029d-4476-ac8e-19890ba609bc,Personal Loan,2021-03-24,2024-03-08,36,381261.95,353642.39,0.1978,14126.36,Current,0,0.0,None,0.0,,Medical,2021-03-25,2021-05-23,2021-04-23,14103.28,0.0,Branch,OFC5765
b0baaa41-5310-42a6-b098-9a3cd23ebf78,PCB-LOAN-201608-253520,1d8706dd-c6cf-479c-92a0-90c81229ba91,1341bea1-42a8-4c2e-9b37-06e55b258eb1,Home Loan,2016-08-06,2026-06-15,120,2741855.82,821936.92,0.1179,39005.53,Current,0,0.0,Property,3153008.07,0.8696,Investment Property,2016-08-11,2023-02-01,2023-01-02,38024.3,0.0,Call Centre,OFC1404
9a330ac3-0efa-4c27-91c4-b6fe93d145c1,PCB-LOAN-202003-659031,ca32bc99-ff8b-4b9d-9ca0-72f790ef992c,4085320e-e917-449f-bd6b-15654080aaf2,Home Loan,2020-03-07,2044-10-27,300,1527753.07,1333184.78,0.104,14315.79,Current,0,0.0,Property,1652875.77,0.9243,Holiday Home,2020-03-09,2022-04-26,2022-03-27,13774.89,0.0,Broker,OFC9203
64500403-399e-4912-a967-3847980f2600,PCB-LOAN-201706-812575,008f033c-9eb6-4faf-8215-fd595f6d3ab8,837b7ec5-7253-4290-802b-522ca7a0ec5e,Personal Loan,2017-06-27,2023-05-27,72,176395.21,34154.18,0.2704,4974.76,31-60 DPD,60,9949.52,None,0.0,,Holiday,2017-07-02,2022-02-01,2022-01-02,5015.05,0.5,Branch,OFC9060
a02b002d-95de-4d5a-9799-a903a0efea66,PCB-LOAN-201704-422010,6a2a6c9d-bc95-4782-9f4c-bb6fda12996e,63082938-4002-4e82-a4cc-daa74fcdf859,Vehicle Finance,2017-04-02,2023-03-02,72,176657.48,147373.06,0.1133,3392.45,Current,0,0.0,Vehicle,232934.44,0.7584,Motorbike,2017-04-05,2017-11-28,2017-10-29,3361.67,0.0,Online,OFC5907
745091b5-65e7-43e7-8219-5159a36c9de8,PCB-LOAN-201810-767845,1bc35f30-4d58-4c03-9e0a-7fa17c008883,52a7f25c-2aa9-459e-bc9f-5ddc18722407,Vehicle Finance,2018-10-13,2024-09-11,72,189354.09,63082.49,0.1072,3577.08,NPL,126,14308.32,Vehicle,269121.79,0.7036,Boat,2018-10-18,2022-09-22,2022-08-23,3611.28,1.0,Mobile,OFC9033
d43fd6b6-7cfe-44b8-9eaf-41fd48a83198,PCB-LOAN-201907-830564,2a8c2591-114b-46b0-8347-b0c208b7cc07,30d8c452-753c-4ce1-93ea-cf6524f8f3b2,Personal Loan,2019-07-14,2024-06-17,60,439263.17,126940.01,0.1999,11635.34,61-90 DPD,76,23270.68,None,0.0,,General Expenses,2019-07-19,2022-12-25,2022-11-25,11413.8,0.75,Broker,OFC8524
7cb273fe-9f02-4111-82c6-135513f8a914,PCB-LOAN-201808-311476,578ebe00-340f-40ba-bac8-25fda508217f,7f351576-8781-40de-9ae4-89fca0d91299,Personal Loan,2018-08-18,2022-07-28,48,70941.95,31018.25,0.2021,2166.73,Current,0,0.0,None,0.0,,Debt Consolidation,2018-08-19,2020-11-05,2020-10-06,2087.46,0.0,Branch,OFC5283
1f799a72-2278-4f62-9bd2-5a8eb29cf9d5,PCB-LOAN-201906-466009,1b934713-859c-4d27-8b49-81d53887af96,ae0af86c-b7f4-462b-afe9-f12f61f68957,Vehicle Finance,2019-06-05,2025-05-04,72,294307.42,282517.64,0.1514,6245.53,31-60 DPD,49,6245.53,Vehicle,414985.08,0.7092,Private Vehicle,2019-06-08,2019-08-04,2019-07-05,6405.36,0.5,Mobile,OFC4385
da6d7a6d-0d98-4b06-9f83-04ca093a0401,PCB-LOAN-201904-359818,91c9be29-eee1-4cde-a664-efe7e53212d5,3c662115-5db1-41c3-ba6d-17ca85149eb1,Personal Loan,2019-04-07,2022-03-22,36,121749.98,23086.44,0.1942,4488.77,31-60 DPD,43,4488.77,None,0.0,,Medical,2019-04-09,2021-08-24,2021-07-25,4447.42,0.5,Mobile,OFC8003
31fd8dfb-6b20-4891-9f43-511f7c817cc2,PCB-LOAN-202309-749633,7f164959-ebef-49cb-89cd-6a303fdad6f3,050a2c77-0f72-4593-a5a8-8e26eccc6d35,Business Loan,2023-09-05,2024-08-30,12,1198401.0,184562.04,0.2155,111904.22,Current,0,0.0,None,0.0,,Expansion,2023-09-09,2024-07-01,2024-06-01,106947.1,0.0,Broker,OFC1499
65d18135-3b6f-4b1d-a131-628cd4f248ff,PCB-LOAN-202110-933892,0a384245-7e7b-4b1a-a2ea-24375a52e344,0fdbb001-3f98-4b4d-859e-decb73e2312b,Personal Loan,2021-10-09,2027-09-08,72,396307.93,323137.62,0.1758,8945.07,Current,0,0.0,None,0.0,,Home Renovation,2021-10-10,2022-09-04,2022-08-05,8881.4,0.0,Broker,OFC3306
a2ac0340-6e5a-4004-918a-dd5a35847307,PCB-LOAN-201502-683166,fad584d7-e349-456b-9979-82653a51d413,7160ce9f-b5cb-4c0e-8be2-9bb007915cdc,Personal Loan,2015-02-14,2016-02-09,12,337569.66,187499.84,0.1848,31025.55,1-30 DPD,14,0.0,None,0.0,,Home Renovation,2015-02-17,2015-07-14,2015-06-14,32270.39,0.25,Online,OFC6565
f3523834-616c-4aac-85e8-32a6f74105b9,PCB-LOAN-201610-194142,82342e76-2880-4405-b49b-784e5cede8db,1de678cb-bb72-45f3-947b-efdd683998dd,Home Loan,2016-10-04,2031-07-18,180,2406358.45,1076519.28,0.1119,27638.38,Current,0,0.0,Property,3156707.92,0.7623,Investment Property,2016-10-08,2024-11-21,2024-10-22,26986.74,0.0,Online,OFC6192
121c96bb-12e3-410c-a51f-0100b22e8826,PCB-LOAN-201807-170127,6a8419d0-42ff-4de5-a777-1a27ae772fa9,ae0af86c-b7f4-462b-afe9-f12f61f68957,Vehicle Finance,2018-07-07,2023-06-11,60,583817.67,251977.41,0.1448,13730.14,Current,0,0.0,Vehicle,711018.96,0.8211,Private Vehicle,2018-07-08,2021-04-22,2021-03-23,13065.33,0.0,Online,OFC1399
cc519fcc-d924-460a-8542-5bfba4d377bc,PCB-LOAN-202308-458888,8f16d71b-084e-4609-9ded-09077e4d8d48,49f99181-0036-4d7b-887d-e368addc6ca5,Business Loan,2023-08-17,2027-07-27,48,531339.0,39200.62,0.156,14949.67,Current,0,0.0,Property,700984.1636681441,,Stock,2023-08-20,2027-03-29,2027-02-27,14375.0,0.0,Broker,OFC5637
6177e37d-d951-4ead-9932-1fba9ba7df0c,PCB-LOAN-202010-195499,eb87f2bb-9c22-4ab3-8a18-f4609ef696c8,ae0af86c-b7f4-462b-afe9-f12f61f68957,Vehicle Finance,2020-10-28,2027-09-22,84,577406.72,263377.06,0.1499,11138.84,NPL,273,100249.56,Vehicle,720407.64,0.8015,Commercial Vehicle,2020-10-29,2024-01-11,2023-12-12,11526.14,1.0,Branch,OFC5333
37fce2c3-3642-489e-89e6-b61bb5657b22,PCB-LOAN-202111-355298,06b4cbf1-5e59-4e2f-93b9-72bec63fdd0f,68cf211e-6b58-4ab4-83c1-536b5263abbd,Business Loan,2021-11-19,2025-10-29,48,378408.0,22897.75,0.1554,10635.25,Current,0,0.0,Cession,576257.5607286812,,Stock,2021-11-24,2025-07-31,2025-07-01,10479.28,0.0,Online,OFC4267
35d95d7c-24e9-465f-9440-db1e20114f90,PCB-LOAN-201911-580071,fad584d7-e349-456b-9979-82653a51d413,7160ce9f-b5cb-4c0e-8be2-9bb007915cdc,Home Loan,2019-11-29,2029-10-07,120,1299496.74,411386.22,0.0916,16574.21,Current,0,0.0,Property,1724385.27,0.7536,Investment Property,2019-12-03,2026-07-25,2026-06-25,16523.91,0.0,Branch,OFC7020
cddc653a-ed3f-4816-9622-5e1d802367cd,PCB-LOAN-202307-283912,d2367ea1-c1ad-4362-85ba-3f1645a7dde8,ea34d363-9e19-4716-b4ed-637fc112975f,Business Loan,2023-07-20,2027-06-29,48,283173.0,201280.99,0.1397,7733.86,31-60 DPD,57,7733.86,Property,370615.7900397183,,Property,2023-07-23,2024-06-14,2024-05-15,7774.25,0.5,Branch,OFC3288
ad36c269-03b8-4e06-affb-575f0a1b4f8e,PCB-LOAN-201501-883327,87805b14-50da-45b2-b8d0-37963f00a73b,1548c47b-bc81-4e5f-b221-ff7b6c016b8b,Personal Loan,2015-01-04,2020-12-03,72,310981.12,92946.16,0.1462,6511.69,Current,0,0.0,None,0.0,,Medical,2015-01-09,2018-11-14,2018-10-15,6407.91,0.0,Broker,OFC9168
c0c9cb04-63ba-4d81-9fde-e5b7669ecdd4,PCB-LOAN-202403-689086,8fba209e-c55a-4360-b9f8-88afbea95510,fe27adba-5b13-4809-bd40-71b191da460a,Personal Loan,2024-03-12,2025-03-07,12,361907.24,83142.27,0.1766,33121.12,Current,0,0.0,None,0.0,,Medical,2024-03-13,2024-12-07,2024-11-07,31529.07,0.0,Mobile,OFC1532
387ee6b0-c8b5-4286-87c4-a56cbbace973,PCB-LOAN-201505-303332,cec5e0c3-6738-44ea-ad52-629e935afa47,316559e8-d002-48f7-9473-9b342c03b151,Revolving Credit,2015-05-25,2016-05-19,12,235754.64,53800.5,0.2009,21849.17,31-60 DPD,47,21849.17,None,0.0,,Emergency,2015-05-26,2016-02-19,2016-01-20,20982.45,0.5,Broker,OFC3261
e5708305-0267-425a-8d3f-bb90c59e09ca,PCB-LOAN-201506-503262,27b64371-9beb-43d4-b155-f5264a48d714,c0289eef-258a-4d7e-953a-2f26de856b9b,Home Loan,2015-06-03,2044-12-27,360,2531129.04,1230173.06,0.0908,20511.9,Current,0,0.0,Property,2868785.04,0.8823,Investment Property,2015-06-08,2029-03-21,2029-02-19,19661.81,0.0,Branch,OFC9920
d1205777-a14d-476e-ac0b-dd9acdc9e66c,PCB-LOAN-202007-307368,c1dc20be-75a1-4a1d-ac08-a8936903ed07,00fe6982-263c-4b58-8179-a46e1275ec98,Vehicle Finance,2020-07-22,2026-06-21,72,501774.16,454185.18,0.1171,9734.27,Current,0,0.0,Vehicle,663459.16,0.7563,Motorbike,2020-07-27,2020-11-19,2020-10-20,9997.81,0.0,Branch,OFC8878
b7268ecd-a7d0-49e8-989c-bbfe7b2a4827,PCB-LOAN-201605-901935,d4dbe0ab-3cb7-4948-9463-d5e7e5690023,932e3613-1a96-4df1-9d2d-127ae7042de3,Personal Loan,2016-05-31,2019-05-16,36,355102.67,203975.75,0.217,13506.48,Current,0,0.0,None,0.0,,Holiday,2016-06-03,2017-06-25,2017-05-26,13460.39,0.0,Online,OFC7581
3b0ca6a9-ca28-488d-9140-9a718e4184dc,PCB-LOAN-201904-591638,0fd7e7b5-bec7-48d1-be95-d0dc924bd5c4,dc2c0e67-900f-4508-ae75-ebcb44ab3e5c,Revolving Credit,2019-04-06,2022-03-21,36,51124.93,31337.34,0.2257,1967.59,Current,0,0.0,None,0.0,,Home Improvement,2019-04-11,2020-03-31,2020-03-01,1950.35,0.0,Online,OFC7297
ed59207b-b6b0-4be8-8aa1-8da61ba278c8,PCB-LOAN-202011-249998,1b934713-859c-4d27-8b49-81d53887af96,ae0af86c-b7f4-462b-afe9-f12f61f68957,Personal Loan,2020-11-02,2026-10-02,72,349941.18,110262.17,0.2301,9003.68,Current,0,0.0,None,0.0,,Debt Consolidation,2020-11-03,2024-09-12,2024-08-13,8946.48,0.0,Broker,OFC7240
5483de99-d415-4e1e-ba17-6108788b8ded,PCB-LOAN-201801-781391,943b547a-caaf-4494-a2d8-c22932b3d538,9a7276cb-35b8-40d3-9be4-87f809d4152d,Home Loan,2018-01-06,2037-09-23,240,2771731.78,314172.91,0.1084,28308.3,Current,0,0.0,Property,3493485.98,0.7934,Primary Residence,2018-01-11,2035-04-07,2035-03-08,29518.8,0.0,Branch,OFC9284
59264161-a702-422e-ba4d-68a861f7548c,PCB-LOAN-201610-437722,0ec62bd1-42db-4ffd-b12d-f1738b4fdec9,cdaec3c8-a553-4168-8956-d80c9a9098b4,Business Loan,2016-10-04,2018-09-24,24,750588.0,601184.48,0.1985,38146.8,Current,0,0.0,Cession,1443397.04439476,,Stock,2016-10-06,2017-02-01,2017-01-02,38278.31,0.0,Broker,OFC6293
b53b041d-4189-455b-b985-7bf56ea5adfc,PCB-LOAN-201612-966711,bca80148-e7b8-4cd0-9ed4-29ebc0a69045,8e55531e-503c-49b4-9ac6-f7d4b6b3f13a,Vehicle Finance,2016-12-09,2020-11-18,48,327787.41,241415.04,0.1452,9043.01,Current,0,0.0,Vehicle,440160.35,0.7447,Private Vehicle,2016-12-13,2017-09-05,2017-08-06,8990.46,0.0,Branch,OFC8148
b8cc6f95-7b69-4d33-9f9b-c08ca7ef9f12,PCB-LOAN-202207-203186,e147bc36-a123-431d-a8a8-0dda8386d54b,42324c99-56ba-4a66-ab18-d4d981cb4003,Business Loan,2022-07-07,2023-07-02,12,608985.0,87498.7,0.1503,54974.58,1-30 DPD,24,0.0,Property,611698.5588192724,,Working Capital,2022-07-11,2023-05-03,2023-04-03,57017.27,0.25,Broker,OFC9826
8158fcdd-be50-40da-a088-aaa8685c8ef2,PCB-LOAN-202310-356994,df8c5c39-b206-481c-8917-4be8b64b3af3,ae0af86c-b7f4-462b-afe9-f12f61f68957,Revolving Credit,2023-10-30,2026-10-14,36,119344.7,25339.58,0.2535,4767.24,Current,0,0.0,None,0.0,,General,2023-11-03,2026-02-16,2026-01-17,4874.39,0.0,Branch,OFC4179
a080c55c-7781-4293-8eec-af3dd9c465ae,PCB-LOAN-201507-173117,aa0cf632-0446-46d5-9ce0-006948caa2ce,db617c72-425e-437c-a34a-66b127cb489e,Personal Loan,2015-07-15,2017-07-04,24,250229.88,149858.0,0.1744,12424.9,Current,0,0.0,None,0.0,,Debt Consolidation,2015-07-16,2016-04-10,2016-03-11,12069.59,0.0,Branch,OFC3787
