settlement_id,settlement_month,fintech_id,fintech_name,platform_type,total_transactions,gross_volume_zar,merchant_fees_zar,interchange_fees_zar,net_settlement_zar,avg_transaction_zar,chargebacks_count,chargeback_ratio_pct,new_merchants_onboarded,active_merchants,failed_transactions,failure_rate_pct
FS-2024-09-FT002,2024-09-30,FT002,SnapScan,QR Code Payment,305941,104081128.2,2862231.03,2081622.56,99137274.61,340.37,458,0.15,515,83640,3059,1.0
FS-2024-10-FT002,2024-10-31,FT002,SnapScan,QR Code Payment,337973,114978414.6,3161906.4,2299568.29,109516939.91,340.35,506,0.15,599,84190,3379,1.0
FS-2024-11-FT002,2024-11-30,FT002,SnapScan,QR Code Payment,461194,156898198.8,4314700.47,3137963.98,149445534.35,341.66,691,0.15,793,84740,4611,1.0
FS-2024-12-FT002,2024-12-31,FT002,SnapScan,QR Code Payment,513012,174526682.4,4799483.77,3490533.65,166236664.98,341.59,769,0.15,795,85290,5130,1.0
FS-2024-01-FT003,2024-01-31,FT003,PayFast,Online Payment Gateway,135840,169881504.0,5945852.64,2548222.56,161387428.8,1250.79,271,0.2,336,44120,1358,1.0
FS-2024-02-FT003,2024-02-29,FT003,PayFast,Online Payment Gateway,122011,152586956.6,5340543.48,2288804.35,144957608.77,1248.76,244,0.2,336,44510,1220,1.0
FS-2024-03-FT003,2024-03-31,FT003,PayFast,Online Payment Gateway,143295,179204727.0,6272165.44,2688070.9,170244490.66,1251.03,286,0.2,342,44900,1432,1.0
FS-2024-04-FT003,2024-04-30,FT003,PayFast,Online Payment Gateway,144862,181164417.2,6340754.6,2717466.26,172106196.34,1250.47,289,0.2,408,45290,1448,1.0
FS-2024-05-FT003,2024-05-31,FT003,PayFast,Online Payment Gateway,130017,162599260.2,5690974.11,2438988.9,154469297.19,1249.13,260,0.2,339,45680,1300,1.0
FS-2024-06-FT003,2024-06-30,FT003,PayFast,Online Payment Gateway,125517,156971560.2,5494004.61,2354573.4,149122982.19,1249.69,251,0.2,305,46070,1255,1.0
FS-2024-07-FT003,2024-07-31,FT003,PayFast,Online Payment Gateway,141640,177134984.0,6199724.44,2657024.76,168278234.8,1251.7,283,0.2,356,46460,1416,1.0
FS-2024-08-FT003,2024-08-31,FT003,PayFast,Online Payment Gateway,152163,190295047.8,6660326.67,2854425.72,180780295.41,1249.55,304,0.2,434,46850,1521,1.0
FS-2024-09-FT003,2024-09-30,FT003,PayFast,Online Payment Gateway,141864,177415118.4,6209529.14,2661226.78,168544362.48,1250.88,283,0.2,382,47240,1418,1.0
FS-2024-10-FT003,2024-10-31,FT003,PayFast,Online Payment Gateway,160363,200549967.8,7019248.87,3008249.52,190522469.41,1251.24,320,0.2,388,47630,1603,1.0
FS-2024-11-FT003,2024-11-30,FT003,PayFast,Online Payment Gateway,209335,261794351.0,9162802.28,3926915.26,248704633.46,1252.56,418,0.2,510,48020,2093,1.0
FS-2024-12-FT003,2024-12-31,FT003,PayFast,Online Payment Gateway,244827,306180646.2,10716322.62,4592709.69,290871613.89,1250.36,489,0.2,643,48410,2448,1.0
FS-2024-01-FT004,2024-01-31,FT004,Peach Payments,Online Payment Gateway,52924,51881397.2,1504560.52,1037627.94,49339208.74,978.91,105,0.2,138,11680,529,1.0
FS-2024-02-FT004,2024-02-29,FT004,Peach Payments,Online Payment Gateway,50346,49354183.8,1431271.33,987083.68,46935828.79,981.17,100,0.2,129,11855,503,1.0
FS-2024-03-FT004,2024-03-31,FT004,Peach Payments,Online Payment Gateway,58580,57425974.0,1665353.25,1148519.48,54612101.27,979.46,117,0.2,173,12030,585,1.0
FS-2024-04-FT004,2024-04-30,FT004,Peach Payments,Online Payment Gateway,59922,58741536.6,1703504.56,1174830.73,55863201.31,982.03,119,0.2,174,12205,599,1.0
FS-2024-05-FT004,2024-05-31,FT004,Peach Payments,Online Payment Gateway,52527,51492218.1,1493274.32,1029844.36,48969099.42,979.9,105,0.2,148,12380,525,1.0
FS-2024-06-FT004,2024-06-30,FT004,Peach Payments,Online Payment Gateway,51117,50109995.1,1453189.86,1002199.9,47654605.34,981.75,102,0.2,150,12555,511,1.0
FS-2024-07-FT004,2024-07-31,FT004,Peach Payments,Online Payment Gateway,58009,56866222.7,1649120.46,1137324.45,54079777.79,980.0,116,0.2,151,12730,580,1.0
FS-2024-08-FT004,2024-08-31,FT004,Peach Payments,Online Payment Gateway,63151,61906925.3,1795300.83,1238138.51,58873485.96,980.6,126,0.2,166,12905,631,1.0
FS-2024-09-FT004,2024-09-30,FT004,Peach Payments,Online Payment Gateway,56208,55100702.4,1597920.37,1102014.05,52400767.98,978.39,112,0.2,161,13080,562,1.0
FS-2024-10-FT004,2024-10-31,FT004,Peach Payments,Online Payment Gateway,63925,62665677.5,1817304.65,1253313.55,59595059.3,980.03,127,0.2,187,13255,639,1.0
FS-2024-11-FT004,2024-11-30,FT004,Peach Payments,Online Payment Gateway,83114,81476654.2,2362822.97,1629533.08,77484298.15,980.73,166,0.2,261,13430,831,1.0
FS-2024-12-FT004,2024-12-31,FT004,Peach Payments,Online Payment Gateway,96717,94811675.1,2749538.58,1896233.5,90165903.02,978.66,193,0.2,296,13605,967,1.0
FS-2024-01-FT005,2024-01-31,FT005,PayGate,Online Payment Gateway,37161,70260302.7,1967288.48,1053904.54,67239109.68,1891.34,74,0.2,81,7840,371,1.0
FS-2024-02-FT005,2024-02-29,FT005,PayGate,Online Payment Gateway,33323,63003796.1,1764106.29,945056.94,60294632.87,1890.45,66,0.2,77,7940,333,1.0
FS-2024-03-FT005,2024-03-31,FT005,PayGate,Online Payment Gateway,37753,71379597.1,1998628.72,1070693.96,68310274.42,1891.75,75,0.2,85,8040,377,1.0
FS-2024-04-FT005,2024-04-30,FT005,PayGate,Online Payment Gateway,38649,73073664.3,2046062.6,1096104.96,69931496.74,1888.71,77,0.2,92,8140,386,1.0
FS-2024-05-FT005,2024-05-31,FT005,PayGate,Online Payment Gateway,35334,66805993.8,1870567.83,1002089.91,63933336.06,1889.64,70,0.2,80,8240,353,1.0
FS-2024-06-FT005,2024-06-30,FT005,PayGate,Online Payment Gateway,34071,64418039.7,1803705.11,966270.6,61648063.99,1889.78,68,0.2,80,8340,340,1.0
FS-2024-07-FT005,2024-07-31,FT005,PayGate,Online Payment Gateway,39887,75414350.9,2111601.83,1131215.26,72171533.81,1892.1,79,0.2,103,8440,398,1.0
FS-2024-08-FT005,2024-08-31,FT005,PayGate,Online Payment Gateway,42123,79641956.1,2229974.77,1194629.34,76217351.99,1889.48,84,0.2,106,8540,421,1.0
FS-2024-09-FT005,2024-09-30,FT005,PayGate,Online Payment Gateway,37497,70895577.9,1985076.18,1063433.67,67847068.05,1889.54,74,0.2,94,8640,374,1.0
FS-2024-10-FT005,2024-10-31,FT005,PayGate,Online Payment Gateway,43994,83179455.8,2329024.76,1247691.84,79602739.2,1891.91,87,0.2,98,8740,439,1.0
FS-2024-11-FT005,2024-11-30,FT005,PayGate,Online Payment Gateway,57199,108146149.3,3028092.18,1622192.24,103495864.88,1892.03,114,0.2,129,8840,571,1.0
FS-2024-12-FT005,2024-12-31,FT005,PayGate,Online Payment Gateway,65826,124457218.2,3484802.11,1866858.27,119105557.82,1890.1,131,0.2,157,8940,658,1.0
FS-2024-01-FT006,2024-01-31,FT006,Ozow,Instant EFT Gateway,232679,167738291.1,2516074.37,3354765.82,161867450.91,722.23,186,0.08,256,27600,2326,1.0
FS-2024-02-FT006,2024-02-29,FT006,Ozow,Instant EFT Gateway,214528,154653235.2,2319798.53,3093064.7,149240371.97,720.53,171,0.08,233,27920,2145,1.0
FS-2024-03-FT006,2024-03-31,FT006,Ozow,Instant EFT Gateway,233322,168201829.8,2523027.45,3364036.6,162314765.75,720.74,186,0.08,298,28240,2333,1.0
FS-2024-04-FT006,2024-04-30,FT006,Ozow,Instant EFT Gateway,248186,178917287.4,2683759.31,3578345.75,172655182.34,719.65,198,0.08,310,28560,2481,1.0
FS-2024-05-FT006,2024-05-31,FT006,Ozow,Instant EFT Gateway,214323,154505450.7,2317581.76,3090109.01,149097759.93,719.71,171,0.08,263,28880,2143,1.0
FS-2024-06-FT006,2024-06-30,FT006,Ozow,Instant EFT Gateway,205185,147917866.5,2218768.0,2958357.33,142740741.17,722.06,164,0.08,257,29200,2051,1.0
FS-2024-07-FT006,2024-07-31,FT006,Ozow,Instant EFT Gateway,241404,174028143.6,2610422.15,3480562.87,167937158.58,722.1,193,0.08,324,29520,2414,1.0
FS-2024-08-FT006,2024-08-31,FT006,Ozow,Instant EFT Gateway,263766,190148909.4,2852233.64,3802978.19,183493697.57,720.52,211,0.08,345,29840,2637,1.0
FS-2024-09-FT006,2024-09-30,FT006,Ozow,Instant EFT Gateway,232304,167467953.6,2512019.3,3349359.07,161606575.23,719.44,185,0.08,269,30160,2323,1.0
FS-2024-10-FT006,2024-10-31,FT006,Ozow,Instant EFT Gateway,272829,196682426.1,2950236.39,3933648.52,189798541.19,719.01,218,0.08,313,30480,2728,1.0
FS-2024-11-FT006,2024-11-30,FT006,Ozow,Instant EFT Gateway,357247,257539362.3,3863090.43,5150787.25,248525484.62,721.2,285,0.08,462,30800,3572,1.0
FS-2024-12-FT006,2024-12-31,FT006,Ozow,Instant EFT Gateway,410779,296130581.1,4441958.72,5922611.62,285766010.76,720.81,328,0.08,479,31120,4107,1.0
FS-2024-01-FT007,2024-01-31,FT007,Zapper,QR Code Payment,258386,77128221.0,2005333.75,1542564.42,73580322.83,297.96,387,0.15,225,41650,2583,1.0
FS-2024-02-FT007,2024-02-29,FT007,Zapper,QR Code Payment,233649,69744226.5,1813349.89,1394884.53,66535992.08,297.48,350,0.15,219,41910,2336,1.0
FS-2024-03-FT007,2024-03-31,FT007,Zapper,QR Code Payment,265232,79171752.0,2058465.55,1583435.04,75529851.41,298.78,397,0.15,252,42170,2652,1.0
FS-2024-04-FT007,2024-04-30,FT007,Zapper,QR Code Payment,280698,83788353.0,2178497.18,1675767.06,79934088.76,297.08,421,0.15,268,42430,2806,1.0
FS-2024-05-FT007,2024-05-31,FT007,Zapper,QR Code Payment,248273,74109490.5,1926846.75,1482189.81,70700453.94,299.57,372,0.15,201,42690,2482,1.0
FS-2024-06-FT007,2024-06-30,FT007,Zapper,QR Code Payment,240304,71730744.0,1864999.34,1434614.88,68431129.78,300.05,360,0.15,193,42950,2403,1.0
FS-2024-07-FT007,2024-07-31,FT007,Zapper,QR Code Payment,273035,81500947.5,2119024.64,1630018.95,77751903.91,298.36,409,0.15,258,43210,2730,1.0
FS-2024-08-FT007,2024-08-31,FT007,Zapper,QR Code Payment,300762,89777457.0,2334213.88,1795549.14,85647693.98,296.97,451,0.15,282,43470,3007,1.0
FS-2024-09-FT007,2024-09-30,FT007,Zapper,QR Code Payment,269846,80549031.0,2094274.81,1610980.62,76843775.57,297.91,404,0.15,214,43730,2698,1.0
FS-2024-10-FT007,2024-10-31,FT007,Zapper,QR Code Payment,303254,90521319.0,2353554.29,1810426.38,86357338.33,299.58,454,0.15,264,43990,3032,1.0
FS-2024-11-FT007,2024-11-30,FT007,Zapper,QR Code Payment,394101,117639148.5,3058617.86,2352782.97,112227747.67,297.69,591,0.15,326,44250,3941,1.0
FS-2024-12-FT007,2024-12-31,FT007,Zapper,QR Code Payment,457198,136473603.0,3548313.68,2729472.06,130195817.26,297.54,685,0.15,435,44510,4571,1.0
FS-2024-01-FT008,2024-01-31,FT008,iKhokha,POS Card Acquiring,478332,292882683.6,8054273.8,5857653.67,278970756.13,611.84,669,0.14,950,128400,4783,1.0
FS-2024-02-FT008,2024-02-29,FT008,iKhokha,POS Card Acquiring,424929,260184026.7,7155060.73,5203680.53,247825285.44,614.07,594,0.14,920,129500,4249,1.0
FS-2024-03-FT008,2024-03-31,FT008,iKhokha,POS Card Acquiring,478834,293190058.2,8062726.6,5863801.16,279263530.44,611.58,670,0.14,1099,130600,4788,1.0
FS-2024-04-FT008,2024-04-30,FT008,iKhokha,POS Card Acquiring,510314,312465262.2,8592794.71,6249305.24,297623162.25,611.2,714,0.14,1068,131700,5103,1.0
FS-2024-05-FT008,2024-05-31,FT008,iKhokha,POS Card Acquiring,433830,265634109.0,7304938.0,5312682.18,253016488.82,613.86,607,0.14,1002,132800,4338,1.0
FS-2024-06-FT008,2024-06-30,FT008,iKhokha,POS Card Acquiring,431759,264366035.7,7270065.98,5287320.71,251808649.01,613.35,604,0.14,860,133900,4317,1.0
FS-2024-07-FT008,2024-07-31,FT008,iKhokha,POS Card Acquiring,513765,314578309.5,8650903.51,6291566.19,299635839.8,613.91,719,0.14,1099,135000,5137,1.0
FS-2024-08-FT008,2024-08-31,FT008,iKhokha,POS Card Acquiring,546690,334738287.0,9205302.89,6694765.74,318838218.37,610.46,765,0.14,1130,136100,5466,1.0
FS-2024-09-FT008,2024-09-30,FT008,iKhokha,POS Card Acquiring,489048,299444090.4,8234712.49,5988881.81,285220496.1,610.59,684,0.14,1030,137200,4890,1.0
FS-2024-10-FT008,2024-10-31,FT008,iKhokha,POS Card Acquiring,561511,343813185.3,9454862.6,6876263.71,327482058.99,612.97,786,0.14,1256,138300,5615,1.0
FS-2024-11-FT008,2024-11-30,FT008,iKhokha,POS Card Acquiring,724321,443501748.3,12196298.08,8870034.97,422435415.25,611.67,1014,0.14,1652,139400,7243,1.0
FS-2024-12-FT008,2024-12-31,FT008,iKhokha,POS Card Acquiring,854354,523120954.2,14385826.24,10462419.08,498272708.88,613.19,1196,0.14,1788,140500,8543,1.0
FS-2024-01-FT009,2024-01-31,FT009,Stitch,Open Banking / Payments API,7458,15966086.4,191593.04,319321.73,15455171.63,2140.33,3,0.05,42,3150,74,1.0
FS-2024-02-FT009,2024-02-29,FT009,Stitch,Open Banking / Payments API,6987,14957769.6,179493.24,299155.39,14479120.97,2140.73,3,0.05,37,3195,69,1.0
FS-2024-03-FT009,2024-03-31,FT009,Stitch,Open Banking / Payments API,7832,16766745.6,201200.95,335334.91,16230209.74,2138.82,3,0.05,43,3240,78,1.0
FS-2024-04-FT009,2024-04-30,FT009,Stitch,Open Banking / Payments API,8252,17665881.6,211990.58,353317.63,17100573.39,2142.14,4,0.05,42,3285,82,1.0
FS-2024-05-FT009,2024-05-31,FT009,Stitch,Open Banking / Payments API,7206,15426604.8,185119.26,308532.1,14932953.44,2142.39,3,0.05,41,3330,72,1.0
FS-2024-06-FT009,2024-06-30,FT009,Stitch,Open Banking / Payments API,6827,14615241.6,175382.9,292304.83,14147553.87,2140.76,3,0.05,37,3375,68,1.0
FS-2024-07-FT009,2024-07-31,FT009,Stitch,Open Banking / Payments API,7987,17098569.6,205182.84,341971.39,16551415.37,2140.49,3,0.05,41,3420,79,1.0
FS-2024-08-FT009,2024-08-31,FT009,Stitch,Open Banking / Payments API,8910,19074528.0,228894.34,381490.56,18464143.1,2139.97,4,0.05,46,3465,89,1.0
FS-2024-09-FT009,2024-09-30,FT009,Stitch,Open Banking / Payments API,7601,16272220.8,195266.65,325444.42,15751509.73,2141.65,3,0.05,38,3510,76,1.0
FS-2024-10-FT009,2024-10-31,FT009,Stitch,Open Banking / Payments API,8692,18607833.6,223294.0,372156.67,18012382.93,2142.5,4,0.05,43,3555,86,1.0
FS-2024-11-FT009,2024-11-30,FT009,Stitch,Open Banking / Payments API,11553,24732662.4,296791.95,494653.25,23941217.2,2140.39,5,0.05,59,3600,115,1.0
FS-2024-12-FT009,2024-12-31,FT009,Stitch,Open Banking / Payments API,13539,28984291.2,347811.49,579685.82,28056793.89,2140.55,6,0.05,65,3645,135,1.0
FS-2024-01-FT010,2024-01-31,FT010,Kazang,Prepaid & Bill Payment Terminal,1702534,144034376.4,4609100.04,2880687.53,136544588.83,84.69,510,0.03,417,64300,17025,1.0
FS-2024-02-FT010,2024-02-29,FT010,Kazang,Prepaid & Bill Payment Terminal,1562266,132167703.6,4229366.52,2643354.07,125294983.01,83.29,468,0.03,415,64780,15622,1.0
FS-2024-03-FT010,2024-03-31,FT010,Kazang,Prepaid & Bill Payment Terminal,1722841,145752348.6,4664075.16,2915046.97,138173226.47,83.6,516,0.03,461,65260,17228,1.0
FS-2024-04-FT010,2024-04-30,FT010,Kazang,Prepaid & Bill Payment Terminal,1847661,156312120.6,5001987.86,3126242.41,148183890.33,86.09,554,0.03,477,65740,18476,1.0
FS-2024-05-FT010,2024-05-31,FT010,Kazang,Prepaid & Bill Payment Terminal,1571674,132963620.4,4254835.85,2659272.41,126049512.14,86.09,471,0.03,402,66220,15716,1.0
FS-2024-06-FT010,2024-06-30,FT010,Kazang,Prepaid & Bill Payment Terminal,1535412,129895855.2,4156667.37,2597917.1,123141270.73,84.26,460,0.03,384,66700,15354,1.0
FS-2024-07-FT010,2024-07-31,FT010,Kazang,Prepaid & Bill Payment Terminal,1874691,158598858.6,5075163.48,3171977.17,150351717.95,85.69,562,0.03,471,67180,18746,1.0
FS-2024-08-FT010,2024-08-31,FT010,Kazang,Prepaid & Bill Payment Terminal,1899760,160719696.0,5143030.27,3214393.92,152362271.81,85.68,569,0.03,531,67660,18997,1.0
FS-2024-09-FT010,2024-09-30,FT010,Kazang,Prepaid & Bill Payment Terminal,1766734,149465696.4,4782902.28,2989313.93,141693480.19,84.9,530,0.03,465,68140,17667,1.0
FS-2024-10-FT010,2024-10-31,FT010,Kazang,Prepaid & Bill Payment Terminal,1943875,164451825.0,5262458.4,3289036.5,155900330.1,83.49,583,0.03,520,68620,19438,1.0
FS-2024-11-FT010,2024-11-30,FT010,Kazang,Prepaid & Bill Payment Terminal,2641630,223481898.0,7151420.74,4469637.96,211860839.3,85.03,792,0.03,705,69100,26416,1.0
FS-2024-12-FT010,2024-12-31,FT010,Kazang,Prepaid & Bill Payment Terminal,3105572,262731391.2,8407404.52,5254627.82,249069358.86,86.11,931,0.03,741,69580,31055,1.0
FS-2024-01-FT011,2024-01-31,FT011,Adumo,POS Card Acquiring,170669,122062468.8,3478780.36,1830937.03,116752751.41,714.41,307,0.18,367,37500,1706,1.0
FS-2024-02-FT011,2024-02-29,FT011,Adumo,POS Card Acquiring,152107,108786926.4,3100427.4,1631803.9,104054695.1,714.87,273,0.18,282,37880,1521,1.0
FS-2024-03-FT011,2024-03-31,FT011,Adumo,POS Card Acquiring,176826,126465955.2,3604279.72,1896989.33,120964686.15,714.95,318,0.18,343,38260,1768,1.0
FS-2024-04-FT011,2024-04-30,FT011,Adumo,POS Card Acquiring,178973,128001489.6,3648042.45,1920022.34,122433424.81,715.73,322,0.18,393,38640,1789,1.0
FS-2024-05-FT011,2024-05-31,FT011,Adumo,POS Card Acquiring,162313,116086257.6,3308458.34,1741293.86,111036505.4,713.98,292,0.18,287,39020,1623,1.0
FS-2024-06-FT011,2024-06-30,FT011,Adumo,POS Card Acquiring,153473,109763889.6,3128270.85,1646458.34,104989160.41,715.01,276,0.18,302,39400,1534,1.0
FS-2024-07-FT011,2024-07-31,FT011,Adumo,POS Card Acquiring,182401,130453195.2,3717916.06,1956797.93,124778481.21,714.46,328,0.18,365,39780,1824,1.0
FS-2024-08-FT011,2024-08-31,FT011,Adumo,POS Card Acquiring,198203,141754785.6,4040011.39,2126321.78,135588452.43,713.93,356,0.18,353,40160,1982,1.0
FS-2024-09-FT011,2024-09-30,FT011,Adumo,POS Card Acquiring,172873,123638769.6,3523704.93,1854581.54,118260483.13,715.24,311,0.18,333,40540,1728,1.0
FS-2024-10-FT011,2024-10-31,FT011,Adumo,POS Card Acquiring,197908,141543801.6,4033998.35,2123157.02,135386646.23,714.32,356,0.18,412,40920,1979,1.0
FS-2024-11-FT011,2024-11-30,FT011,Adumo,POS Card Acquiring,267921,191617099.2,5461087.33,2874256.49,183281755.38,715.67,482,0.18,547,41300,2679,1.0
FS-2024-12-FT011,2024-12-31,FT011,Adumo,POS Card Acquiring,309783,221556801.6,6314368.85,3323352.02,211919080.73,713.59,557,0.18,656,41680,3097,1.0
FS-2024-01-FT012,2024-01-31,FT012,Mukuru,Cross-Border Remittance,84258,124701840.0,5611582.8,2494036.8,116596220.4,1479.53,185,0.22,57,4420,842,1.0
FS-2024-02-FT012,2024-02-29,FT012,Mukuru,Cross-Border Remittance,77453,114630440.0,5158369.8,2292608.8,107179461.4,1478.16,170,0.22,49,4482,774,1.0
FS-2024-03-FT012,2024-03-31,FT012,Mukuru,Cross-Border Remittance,86640,128227200.0,5770224.0,2564544.0,119892432.0,1481.77,190,0.22,54,4544,866,1.0
FS-2024-04-FT012,2024-04-30,FT012,Mukuru,Cross-Border Remittance,92577,137013960.0,6165628.2,2740279.2,128108052.6,1479.9,203,0.22,58,4606,925,1.0
FS-2024-05-FT012,2024-05-31,FT012,Mukuru,Cross-Border Remittance,81785,121041800.0,5446881.0,2420836.0,113174083.0,1481.88,179,0.22,47,4668,817,1.0
FS-2024-06-FT012,2024-06-30,FT012,Mukuru,Cross-Border Remittance,77230,114300400.0,5143518.0,2286008.0,106870874.0,1480.37,169,0.22,55,4730,772,1.0
FS-2024-07-FT012,2024-07-31,FT012,Mukuru,Cross-Border Remittance,92025,136197000.0,6128865.0,2723940.0,127344195.0,1481.86,202,0.22,64,4792,920,1.0
FS-2024-08-FT012,2024-08-31,FT012,Mukuru,Cross-Border Remittance,97267,143955160.0,6477982.2,2879103.2,134598074.6,1481.76,213,0.22,66,4854,972,1.0
FS-2024-09-FT012,2024-09-30,FT012,Mukuru,Cross-Border Remittance,86635,128219800.0,5769891.0,2564396.0,119885513.0,1480.22,190,0.22,52,4916,866,1.0
FS-2024-10-FT012,2024-10-31,FT012,Mukuru,Cross-Border Remittance,100660,148976800.0,6703956.0,2979536.0,139293308.0,1478.79,221,0.22,68,4978,1006,1.0
FS-2024-11-FT012,2024-11-30,FT012,Mukuru,Cross-Border Remittance,128012,189457760.0,8525599.2,3789155.2,177143005.6,1481.4,281,0.22,85,5040,1280,1.0
FS-2024-12-FT012,2024-12-31,FT012,Mukuru,Cross-Border Remittance,153093,226577640.0,10195993.8,4531552.8,211850093.4,1481.04,336,0.22,105,5102,1530,1.0
