portfolio_id,ticker,units,avg_cost_cents,last_price_cents,market_value_zar,valuation_date
PF00006,GRT,173598.0494,1438.74,1796.04,3117890.41,2026-07-31
PF00006,RDF,412676.7013,508.96,611.54,2523683.1,2026-07-31
PF00006,R2040,246251.2461,7119.36,9013.75,22196471.7,2026-07-31
PF00006,R186,169824.0028,11255.37,11088.39,18830747.75,2026-07-31
PF00006,R2035,247730.6005,8359.17,8746.3,21667261.52,2026-07-31
PF00006,ASHGEQ,129320.1982,9740.87,9654.93,12485774.61,2026-07-31
PF00006,MMKT,21438410.8041,97.04,105.93,22709708.56,2026-07-31
PF00007,SOL,5178.5339,8881.11,10313.55,534090.68,2026-07-31
PF00007,CFR,2419.7281,23658.1,25322.59,612737.82,2026-07-31
PF00007,EXX,2390.4601,20467.33,21952.49,524765.52,2026-07-31
PF00007,SBK,3051.4837,17552.29,21827.26,666055.29,2026-07-31
PF00007,RDF,687731.213,527.82,611.54,4205751.46,2026-07-31
PF00007,GRT,216894.7749,1339.86,1796.04,3895516.91,2026-07-31
PF00007,R2040,9218.0604,8509.1,9013.75,830892.92,2026-07-31
PF00007,R2032,7970.7647,9274.6,10184.61,811791.3,2026-07-31
PF00007,ASHGEQ,7915.0344,8797.4,9654.93,764191.03,2026-07-31
PF00007,STXWDM,3902.1159,9103.26,12426.7,484904.24,2026-07-31
PF00007,STX500,5033.8075,10410.9,14391.01,724415.74,2026-07-31
PF00007,MMKT,1170568.9093,96.73,105.93,1239983.65,2026-07-31
PF00008,INL,188.1614,26376.93,25973.07,48871.3,2026-07-31
PF00008,EXX,208.2001,21302.12,21952.49,45705.11,2026-07-31
PF00008,SHP,153.8657,25068.33,28051.24,43161.24,2026-07-31
PF00008,AGL,272.1492,11280.35,14500.23,39462.27,2026-07-31
PF00008,ABG,217.5046,22185.61,21379.43,46501.24,2026-07-31
PF00008,RDF,7180.1508,628.54,611.54,43909.49,2026-07-31
PF00008,GRT,2995.2114,1506.49,1796.04,53795.2,2026-07-31
PF00008,R2030,2895.5087,9443.22,10784.05,312253.1,2026-07-31
PF00008,R2035,3357.1886,8883.71,8746.3,293629.79,2026-07-31
PF00008,R2032,3279.1215,8957.69,10184.61,333965.73,2026-07-31
PF00008,STX500,580.0119,14743.96,14391.01,83469.57,2026-07-31
PF00008,STXWDM,621.3113,12926.11,12426.7,77208.49,2026-07-31
PF00008,ASHGEQ,836.3579,8231.04,9654.93,80749.77,2026-07-31
PF00008,MMKT,443759.3417,99.18,105.93,470074.27,2026-07-31
PF00009,GFI,13286.5902,15542.36,15709.96,2087318.0,2026-07-31
PF00009,BHG,52940.0744,4395.91,4885.43,2586350.27,2026-07-31
PF00009,MRP,11208.0033,17954.45,21033.92,2357482.44,2026-07-31
PF00009,ABG,10311.6073,18482.46,21379.43,2204562.86,2026-07-31
PF00009,RDF,94062.7589,606.65,611.54,575231.4,2026-07-31
PF00009,GRT,32187.5989,1413.21,1796.04,578102.15,2026-07-31
PF00009,R2035,19324.1812,6964.04,8746.3,1690150.86,2026-07-31
PF00009,R2032,14534.6655,8344.71,10184.61,1480299.0,2026-07-31
PF00009,STXCLR,27740.5044,5000.05,5663.24,1571011.34,2026-07-31
PF00009,ASHGEQ,30238.709,7950.3,9654.93,2919526.19,2026-07-31
PF00009,STX500,21018.5175,13078.22,14391.01,3024776.96,2026-07-31
PF00009,MMKT,950477.4718,110.92,105.93,1006840.79,2026-07-31
PF00010,BVT,2434.5833,27285.5,26627.01,648256.73,2026-07-31
PF00010,MTN,4985.2728,12135.72,14566.93,726201.2,2026-07-31
PF00010,R2035,3006.8061,6443.39,8746.3,262984.29,2026-07-31
PF00010,R2040,2564.7758,9289.9,9013.75,231182.48,2026-07-31
PF00010,R2030,3001.0066,9228.52,10784.05,323630.05,2026-07-31
PF00010,STX500,154109.3538,12765.19,14391.01,22177892.51,2026-07-31
PF00010,MMKT,369665.5422,87.15,105.93,391586.71,2026-07-31
PF00011,CLS,652.3684,45979.39,52705.64,343834.96,2026-07-31
PF00011,SOL,4565.0558,9792.9,10313.55,470819.31,2026-07-31
PF00011,BHG,7220.8962,4360.78,4885.43,352771.83,2026-07-31
PF00011,AGL,2513.6242,14998.04,14500.23,364481.29,2026-07-31
PF00011,SLM,4712.7306,9902.22,9455.43,445608.94,2026-07-31
PF00011,NED,1331.4208,23726.24,31885.01,424523.66,2026-07-31
PF00011,R2032,9345.4605,8890.98,10184.61,951798.71,2026-07-31
PF00011,STXCLR,16773.386,5704.19,5663.24,949917.1,2026-07-31
PF00011,ASHGEQ,458190.9433,9388.55,9654.93,44238014.84,2026-07-31
PF00011,MMKT,955708.6795,77.34,105.93,1012382.2,2026-07-31
PF00012,DSY,1126.4609,14930.32,16065.56,180972.25,2026-07-31
PF00012,MTN,1367.412,13953.41,14566.93,199189.94,2026-07-31
PF00012,BVT,721.8156,19720.03,26627.01,192197.91,2026-07-31
PF00012,GRT,3872.5301,1346.96,1796.04,69552.19,2026-07-31
PF00012,RDF,10379.0075,553.31,611.54,63471.78,2026-07-31
PF00012,STXCLR,17086.3633,5989.6,5663.24,967641.76,2026-07-31
PF00012,R186,8777.2745,11575.48,11088.39,973258.43,2026-07-31
PF00012,ASHGEQ,3410.2326,9576.39,9654.93,329255.57,2026-07-31
PF00012,MMKT,943840.1672,77.58,105.93,999809.89,2026-07-31
PF00013,ABG,29243.6199,20244.07,21379.43,6252119.25,2026-07-31
PF00013,REM,30547.6092,21230.76,21071.22,6436753.94,2026-07-31
PF00013,RDF,2223983.264,504.23,611.54,13600547.25,2026-07-31
PF00013,GRT,888588.3415,1464.6,1796.04,15959402.05,2026-07-31
PF00013,R2035,77008.9628,7729.59,8746.3,6735434.91,2026-07-31
PF00013,STXWDM,20478.3225,12553.34,12426.7,2544779.7,2026-07-31
PF00013,STX500,15190.7805,13871.3,14391.01,2186106.74,2026-07-31
PF00013,ASHGEQ,22472.3806,9154.09,9654.93,2169692.61,2026-07-31
PF00013,MMKT,4155569.5539,111.8,105.93,4401994.83,2026-07-31
PF00014,NED,608.4291,24831.88,31885.01,193997.69,2026-07-31
PF00014,GFI,1542.9406,12867.69,15709.96,242395.35,2026-07-31
PF00014,AGL,1352.2647,11010.9,14500.23,196081.49,2026-07-31
PF00014,FSR,2663.4094,7653.5,9387.31,250022.49,2026-07-31
PF00014,INL,937.8642,19327.09,25973.07,243592.13,2026-07-31
PF00014,RDF,5729.423,647.94,611.54,35037.71,2026-07-31
PF00014,GRT,1327.0469,1810.79,1796.04,23834.29,2026-07-31
PF00014,R2040,284.3039,9026.12,9013.75,25626.44,2026-07-31
PF00014,ASHGEQ,3896.8503,8201.13,9654.93,376238.17,2026-07-31
PF00014,MMKT,43882.4794,83.35,105.93,46484.71,2026-07-31
PF00015,VOD,7646.7466,9395.46,9969.52,762343.93,2026-07-31
PF00015,WHL,10288.6247,8256.74,8156.52,839193.73,2026-07-31
PF00015,OMU,39247.3287,1196.87,1573.35,617497.85,2026-07-31
PF00015,AGL,5201.9774,10718.77,14500.23,754298.69,2026-07-31
PF00015,EXX,2317.3556,22793.62,21952.49,508717.27,2026-07-31
PF00015,STX40,6814.2562,7307.89,10102.33,688398.64,2026-07-31
PF00015,GRT,13718.2799,1838.4,1796.04,246385.79,2026-07-31
PF00015,RDF,50425.9849,558.96,611.54,308375.07,2026-07-31
PF00015,R2040,18705.7953,8146.05,9013.75,1686093.62,2026-07-31
PF00015,R2030,11992.1681,10673.34,10784.05,1293241.41,2026-07-31
PF00015,STX500,8848.3058,11052.03,14391.01,1273360.58,2026-07-31
PF00015,ASHGEQ,10620.3311,10068.52,9654.93,1025385.53,2026-07-31
PF00015,MMKT,1830441.9592,91.49,105.93,1938987.17,2026-07-31
PF00016,INL,4161.1013,24947.4,25973.07,1080765.76,2026-07-31
PF00016,BVT,5189.7101,22784.88,26627.01,1381864.62,2026-07-31
PF00016,CPI,595.2984,202764.61,231380.88,1377406.74,2026-07-31
PF00016,CLS,1992.502,38143.26,52705.64,1050160.91,2026-07-31
PF00016,VOD,10377.9457,7998.77,9969.52,1034631.37,2026-07-31
PF00016,OMU,71163.3391,1214.8,1573.35,1119648.4,2026-07-31
PF00016,RDF,170484.0183,539.58,611.54,1042577.97,2026-07-31
PF00016,GRT,49563.5801,1681.32,1796.04,890181.72,2026-07-31
PF00016,R2040,322363.357,9042.54,9013.75,29057027.09,2026-07-31
PF00016,STXWDM,15907.8077,10208.18,12426.7,1976815.54,2026-07-31
PF00016,STX500,16400.246,11458.23,14391.01,2360161.04,2026-07-31
PF00016,ASHGEQ,20153.0223,8288.5,9654.93,1945760.2,2026-07-31
PF00016,MMKT,11185104.7532,79.61,105.93,11848381.47,2026-07-31
PF00017,SOL,553.8461,9802.72,10313.55,57121.2,2026-07-31
PF00017,STX40,431.4789,9462.61,10102.33,43589.42,2026-07-31
PF00017,WHL,478.5737,6731.67,8156.52,39034.96,2026-07-31
PF00017,NPN,1165.8718,3897.86,3933.75,45862.48,2026-07-31
PF00017,INL,143.7705,23861.6,25973.07,37341.62,2026-07-31
PF00017,CLS,94.8547,52229.82,52705.64,49993.78,2026-07-31
PF00017,NED,166.0015,31425.83,31885.01,52929.59,2026-07-31
PF00017,STXCLR,2895.1607,5314.99,5663.24,163959.9,2026-07-31
PF00017,ASHGEQ,34042.8674,9607.73,9654.93,3286815.02,2026-07-31
PF00017,STXWDM,28182.9213,12205.84,12426.7,3502207.08,2026-07-31
PF00017,MMKT,144502.3259,76.28,105.93,153071.31,2026-07-31
PF00018,SHP,761.4131,28398.4,28051.24,213585.81,2026-07-31
PF00018,OMU,18469.5329,1234.18,1573.35,290590.4,2026-07-31
PF00018,RDF,26979.3687,643.82,611.54,164989.63,2026-07-31
PF00018,R2035,15776.5259,6373.88,8746.3,1379862.29,2026-07-31
PF00018,R2032,10711.1983,10267.8,10184.61,1090893.78,2026-07-31
PF00018,STXWDM,1473.4998,10239.45,12426.7,183107.4,2026-07-31
PF00018,ASHGEQ,2004.0875,8619.38,9654.93,193493.24,2026-07-31
PF00018,MMKT,973953.1595,98.62,105.93,1031708.58,2026-07-31
PF00019,R2035,3301.0572,7891.73,8746.3,288720.36,2026-07-31
PF00019,R2040,3263.1459,6928.43,9013.75,294131.82,2026-07-31
PF00019,MMKT,3590318.6042,84.28,105.93,3803224.5,2026-07-31
PF00020,ANG,15243.2567,44755.55,56307.51,8583098.3,2026-07-31
PF00020,CFR,35103.0601,20147.52,25322.59,8889003.98,2026-07-31
PF00020,RDF,102597.8092,553.04,611.54,627426.64,2026-07-31
PF00020,GRT,36338.1762,1462.72,1796.04,652648.18,2026-07-31
PF00020,STXCLR,9078.3713,4851.28,5663.24,514129.96,2026-07-31
PF00020,ASHGEQ,16930.3128,9122.53,9654.93,1634609.85,2026-07-31
PF00020,STX500,12238.9147,14756.98,14391.01,1761303.44,2026-07-31
PF00020,STXWDM,14953.6959,12701.93,12426.7,1858250.92,2026-07-31
PF00020,MMKT,683249.4328,80.95,105.93,723766.12,2026-07-31
PF00021,ANG,137.8242,50701.78,56307.51,77605.36,2026-07-31
PF00021,VOD,517.9534,8920.37,9969.52,51637.47,2026-07-31
PF00021,PRX,3145.6319,1165.14,1506.39,47385.48,2026-07-31
PF00021,ABG,296.0501,18763.53,21379.43,63293.82,2026-07-31
PF00021,BVT,232.7559,25706.73,26627.01,61975.94,2026-07-31
PF00021,RDF,6947.8978,641.18,611.54,42489.17,2026-07-31
PF00021,R2040,1521.0289,9408.31,9013.75,137101.74,2026-07-31
PF00021,STX500,607.5807,10785.51,14391.01,87437.0,2026-07-31
PF00021,ASHGEQ,1003.5705,10167.67,9654.93,96894.03,2026-07-31
PF00021,MMKT,49736.0854,112.22,105.93,52685.44,2026-07-31
PF00022,PRX,56743.1326,1283.16,1506.39,854772.88,2026-07-31
PF00022,BHG,13924.8746,3662.08,4885.43,680290.0,2026-07-31
PF00022,MRP,2890.2779,20760.41,21033.92,607938.74,2026-07-31
PF00022,INL,2910.0021,20897.27,25973.07,755816.88,2026-07-31
PF00022,AGL,4501.5235,14247.84,14500.23,652731.27,2026-07-31
PF00022,RDF,42005.0737,581.18,611.54,256877.83,2026-07-31
PF00022,GRT,20072.4493,1313.85,1796.04,360509.22,2026-07-31
PF00022,R2040,24439.3808,8899.24,9013.75,2202904.69,2026-07-31
PF00022,ASHGEQ,12770.2277,7802.61,9654.93,1232956.54,2026-07-31
PF00022,STXWDM,7771.7629,12629.81,12426.7,965773.66,2026-07-31
PF00022,MMKT,370873.2338,91.2,105.93,392866.02,2026-07-31
PF00023,R2035,3971.7907,7079.15,8746.3,347384.73,2026-07-31
PF00023,R2032,3006.0473,10667.62,10184.61,306154.19,2026-07-31
PF00023,MMKT,3727205.4011,98.18,105.93,3948228.68,2026-07-31
PF00024,CPI,915.4024,210212.47,231380.88,2118066.2,2026-07-31
PF00024,NPN,38811.1575,3999.22,3933.75,1526733.91,2026-07-31
PF00024,SHP,6286.9255,24482.74,28051.24,1763560.57,2026-07-31
PF00024,RDF,2475005.7287,584.06,611.54,15135650.03,2026-07-31
PF00024,STXCLR,24121.4397,5017.18,5663.24,1366055.02,2026-07-31
PF00024,R2040,13836.0824,7912.3,9013.75,1247149.88,2026-07-31
PF00024,R2035,12499.7862,7193.59,8746.3,1093268.8,2026-07-31
PF00024,STX500,8247.7076,14055.72,14391.01,1186928.43,2026-07-31
PF00024,STXWDM,11800.0324,12920.87,12426.7,1466354.63,2026-07-31
PF00024,ASHGEQ,10499.1843,9704.93,9654.93,1013688.9,2026-07-31
PF00024,MMKT,2089424.124,87.08,105.93,2213326.97,2026-07-31
PF00025,CFR,975.3322,21893.56,25322.59,246979.38,2026-07-31
PF00025,SOL,2386.8925,7739.58,10313.55,246173.36,2026-07-31
PF00025,SBK,1201.5796,22269.31,21827.26,262271.9,2026-07-31
PF00025,SLM,2772.9743,9857.45,9455.43,262196.65,2026-07-31
PF00025,STXCLR,2402.3796,5425.63,5663.24,136052.52,2026-07-31
PF00025,R2035,1997.6808,6949.14,8746.3,174723.15,2026-07-31
PF00025,R2032,1780.0184,9319.11,10184.61,181287.93,2026-07-31
PF00025,STX500,66292.3715,11949.23,14391.01,9540141.8,2026-07-31
PF00025,STXWDM,59308.6723,10239.93,12426.7,7370110.79,2026-07-31
PF00025,MMKT,337103.4528,102.44,105.93,357093.69,2026-07-31
PF00026,R2035,17473.7062,6704.89,8746.3,1528302.76,2026-07-31
PF00026,R2040,17556.3399,9042.59,9013.75,1582484.58,2026-07-31
PF00026,MMKT,21211643.1342,106.8,105.93,22469493.57,2026-07-31
PF00027,NED,2381.4709,28630.36,31885.01,759332.22,2026-07-31
PF00027,ABG,3558.7723,20567.51,21379.43,760845.24,2026-07-31
PF00027,SLM,6780.6023,8956.97,9455.43,641135.11,2026-07-31
PF00027,INL,2481.377,23064.99,25973.07,644489.8,2026-07-31
PF00027,SBK,2615.1812,20646.76,21827.26,570822.4,2026-07-31
PF00027,RDF,92408.7182,516.34,611.54,565116.28,2026-07-31
PF00027,GRT,31108.1389,1703.38,1796.04,558714.62,2026-07-31
PF00027,R186,44228.5949,10586.09,11088.39,4904239.1,2026-07-31
PF00027,STXCLR,138124.5867,5386.79,5663.24,7822326.84,2026-07-31
PF00027,ASHGEQ,13779.7967,7057.19,9654.93,1330429.72,2026-07-31
PF00027,STXWDM,8588.316,10994.21,12426.7,1067244.27,2026-07-31
PF00027,MMKT,4713466.2911,100.98,105.93,4992974.84,2026-07-31
PF00028,VOD,704.0069,9462.01,9969.52,70186.11,2026-07-31
PF00028,SOL,566.5305,8597.0,10313.55,58429.41,2026-07-31
PF00028,CPI,25.9253,199026.81,231380.88,59986.12,2026-07-31
PF00028,GRT,617.5375,1671.39,1796.04,11091.22,2026-07-31
PF00028,RDF,1753.8141,584.48,611.54,10725.27,2026-07-31
PF00028,R2035,2246.1899,8570.59,8746.3,196458.5,2026-07-31
PF00028,STX500,921.6321,11367.36,14391.01,132632.17,2026-07-31
PF00028,MMKT,117227.2649,90.3,105.93,124178.84,2026-07-31
PF00029,R2030,970.3609,10382.22,10784.05,104644.21,2026-07-31
PF00029,R2035,1595.2037,7597.8,8746.3,139521.3,2026-07-31
PF00029,STXCLR,2034.4792,5140.48,5663.24,115217.44,2026-07-31
PF00029,MMKT,4045850.3289,97.23,105.93,4285769.25,2026-07-31
PF00030,SHP,2004.7004,24090.23,28051.24,562343.32,2026-07-31
PF00030,APN,1641.7718,20500.76,22726.43,373116.12,2026-07-31
PF00030,NPN,12531.9333,2925.28,3933.75,492974.93,2026-07-31
PF00030,FSR,4648.8646,9633.36,9387.31,436403.33,2026-07-31
PF00030,CLS,734.2289,49946.89,52705.64,386980.05,2026-07-31
PF00030,RDF,563882.076,621.08,611.54,3448364.45,2026-07-31
PF00030,GRT,258333.8213,1296.14,1796.04,4639778.76,2026-07-31
PF00030,R2040,5802.3749,7620.58,9013.75,523011.57,2026-07-31
PF00030,STXCLR,10159.1675,4325.62,5663.24,575338.04,2026-07-31
PF00030,R2030,5711.3801,8376.72,10784.05,615918.09,2026-07-31
PF00030,STXWDM,6403.497,12913.76,12426.7,795743.37,2026-07-31
PF00030,STX500,5500.6386,11514.44,14391.01,791597.45,2026-07-31
PF00030,MMKT,1393813.5882,98.86,105.93,1476466.73,2026-07-31
PF00031,BHG,110413.6689,4617.7,4885.43,5394182.51,2026-07-31
PF00031,TBS,28748.4883,21762.02,23682.29,6808300.37,2026-07-31
PF00031,GFI,41423.4293,16070.06,15709.96,6507604.17,2026-07-31
PF00031,CPI,2002.983,214306.98,231380.88,4634519.69,2026-07-31
PF00031,RDF,6286087.6141,596.59,611.54,38441940.2,2026-07-31
PF00031,GRT,1945429.6334,1336.23,1796.04,34940694.39,2026-07-31
PF00031,R2032,76734.5421,9034.18,10184.61,7815113.85,2026-07-31
PF00031,STX500,106809.8141,13437.8,14391.01,15371011.03,2026-07-31
PF00031,MMKT,7262212.0845,111.21,105.93,7692861.26,2026-07-31
PF00032,ABG,1563.7527,17222.24,21379.43,334321.42,2026-07-31
PF00032,PRX,19689.7841,1341.82,1506.39,296604.94,2026-07-31
PF00032,DSY,1968.7104,15445.66,16065.56,316284.35,2026-07-31
PF00032,GRT,4867.6639,1849.41,1796.04,87425.19,2026-07-31
PF00032,RDF,16591.4028,491.8,611.54,101463.06,2026-07-31
PF00032,R2030,13593.5342,9850.92,10784.05,1465933.52,2026-07-31
PF00032,R2040,17150.5784,7796.99,9013.75,1545910.26,2026-07-31
PF00032,ASHGEQ,2017.7919,7175.7,9654.93,194816.4,2026-07-31
PF00032,STX500,1282.691,13262.03,14391.01,184592.2,2026-07-31
PF00032,STXWDM,1190.6475,9778.33,12426.7,147958.19,2026-07-31
PF00032,MMKT,1244285.3804,77.12,105.93,1318071.5,2026-07-31
PF00033,CLS,527.7183,38259.35,52705.64,278137.31,2026-07-31
PF00033,WHL,2257.4251,7170.5,8156.52,184127.33,2026-07-31
PF00033,NPN,5407.1891,4071.48,3933.75,212705.3,2026-07-31
PF00033,OMU,11450.5996,1403.07,1573.35,180158.01,2026-07-31
PF00033,MTN,1821.1429,11141.71,14566.93,265284.61,2026-07-31
PF00033,GRT,114310.8247,1519.55,1796.04,2053068.14,2026-07-31
PF00033,RDF,362363.1473,530.53,611.54,2215995.59,2026-07-31
PF00033,R2030,2284.7366,10510.76,10784.05,246387.14,2026-07-31
PF00033,R2032,1661.1422,8786.34,10184.61,169180.86,2026-07-31
PF00033,R2040,1746.4762,6815.75,9013.75,157423.0,2026-07-31
PF00033,STX500,6474.8996,15027.58,14391.01,931803.46,2026-07-31
PF00033,MMKT,459054.9333,82.68,105.93,486276.89,2026-07-31
PF00034,R2035,927.2261,7879.3,8746.3,81097.98,2026-07-31
PF00034,R186,649.8713,8180.75,11088.39,72060.26,2026-07-31
PF00034,R2030,819.9067,8741.75,10784.05,88419.15,2026-07-31
PF00034,MMKT,2889035.4878,81.35,105.93,3060355.29,2026-07-31
PF00035,NED,233.3013,32573.78,31885.01,74388.14,2026-07-31
PF00035,ABG,464.4139,21804.9,21379.43,99289.04,2026-07-31
PF00035,EXX,410.3771,21425.78,21952.49,90087.99,2026-07-31
PF00035,REM,425.4575,20207.82,21071.22,89649.09,2026-07-31
PF00035,FSR,772.0178,9812.63,9387.31,72471.7,2026-07-31
PF00035,DSY,451.8499,16350.01,16065.56,72592.22,2026-07-31
PF00035,RDF,114054.1975,608.89,611.54,697487.04,2026-07-31
PF00035,GRT,43542.7553,1466.15,1796.04,782045.3,2026-07-31
PF00035,R186,1219.9831,9365.32,11088.39,135276.48,2026-07-31
PF00035,R2040,1379.1699,7212.12,9013.75,124314.93,2026-07-31
PF00035,ASHGEQ,1943.3891,7400.84,9654.93,187632.85,2026-07-31
PF00035,STX500,969.4519,10471.31,14391.01,139513.92,2026-07-31
PF00035,MMKT,222595.6609,86.5,105.93,235795.58,2026-07-31
PF00036,NPN,25435.8104,4119.36,3933.75,1000581.19,2026-07-31
PF00036,STX40,12427.4482,10206.39,10102.33,1255461.83,2026-07-31
PF00036,PRX,91944.0022,1276.16,1506.39,1385035.26,2026-07-31
PF00036,SOL,13897.1037,10619.94,10313.55,1433284.74,2026-07-31
PF00036,GFI,6603.426,12731.75,15709.96,1037395.58,2026-07-31
PF00036,RDF,81405.2054,446.75,611.54,497825.39,2026-07-31
PF00036,GRT,26776.7558,1720.13,1796.04,480921.24,2026-07-31
PF00036,R2030,29134.1557,8579.73,10784.05,3141841.92,2026-07-31
PF00036,ASHGEQ,40640.9008,9430.4,9654.93,3923850.52,2026-07-31
PF00036,MMKT,1061980.0114,82.79,105.93,1124955.43,2026-07-31
PF00037,STX40,490.0809,8593.76,10102.33,49509.59,2026-07-31
PF00037,CPI,20.3773,213571.92,231380.88,47149.18,2026-07-31
PF00037,APN,291.6073,22045.53,22726.43,66271.94,2026-07-31
PF00037,BHG,842.607,3543.7,4885.43,41164.98,2026-07-31
PF00037,MTN,445.3715,15131.87,14566.93,64876.96,2026-07-31
PF00037,SLM,517.2774,9391.3,9455.43,48910.81,2026-07-31
PF00037,SOL,550.646,8529.17,10313.55,56791.15,2026-07-31
PF00037,R2040,686.8785,9020.0,9013.75,61913.51,2026-07-31
PF00037,R186,548.5691,10491.91,11088.39,60827.48,2026-07-31
PF00037,R2035,787.3694,8392.81,8746.3,68865.69,2026-07-31
PF00037,STX500,13593.2428,14228.25,14391.01,1956204.93,2026-07-31
PF00037,ASHGEQ,16581.5418,9712.0,9654.93,1600936.26,2026-07-31
PF00037,STXWDM,18591.4447,10709.95,12426.7,2310303.06,2026-07-31
PF00037,MMKT,117729.2185,86.17,105.93,124710.56,2026-07-31
PF00038,REM,65011.0708,20889.1,21071.22,13698625.75,2026-07-31
PF00038,NED,30647.1646,32550.3,31885.01,9771851.5,2026-07-31
PF00038,EXX,68484.4321,22552.35,21952.49,15034038.12,2026-07-31
PF00038,RDF,1049717.0769,469.98,611.54,6419439.81,2026-07-31
PF00038,STXCLR,248934.6016,4410.73,5663.24,14097763.93,2026-07-31
PF00038,R2030,132647.4339,7847.74,10784.05,14304765.59,2026-07-31
PF00038,R2035,142014.592,8834.15,8746.3,12421022.26,2026-07-31
PF00038,ASHGEQ,102624.5526,10196.47,9654.93,9908328.72,2026-07-31
PF00038,STXWDM,107947.2934,12692.95,12426.7,13414286.31,2026-07-31
PF00038,MMKT,13609803.6918,87.77,105.93,14416865.05,2026-07-31
PF00039,APN,538.1475,20128.99,22726.43,122301.71,2026-07-31
PF00039,BVT,435.1123,19712.05,26627.01,115857.4,2026-07-31
PF00039,CPI,41.2931,181192.91,231380.88,95544.33,2026-07-31
PF00039,BHG,2001.3151,5081.61,4885.43,97772.85,2026-07-31
PF00039,ANG,140.9834,42366.9,56307.51,79384.23,2026-07-31
PF00039,SSW,3578.4569,2974.51,3350.29,119888.68,2026-07-31
PF00039,VOD,924.4246,8207.27,9969.52,92160.7,2026-07-31
PF00039,GRT,3072.9264,1719.64,1796.04,55190.99,2026-07-31
PF00039,RDF,8756.1709,635.21,611.54,53547.49,2026-07-31
PF00039,R2040,1227.1895,8707.54,9013.75,110615.79,2026-07-31
PF00039,R2030,1109.6936,10370.6,10784.05,119669.91,2026-07-31
PF00039,STXCLR,2030.7849,5219.44,5663.24,115008.22,2026-07-31
PF00039,STXWDM,1575.8397,10704.94,12426.7,195824.87,2026-07-31
PF00039,STX500,1334.8405,12167.36,14391.01,192097.02,2026-07-31
PF00039,MMKT,85488.7596,99.55,105.93,90558.24,2026-07-31
PF00040,APN,4051.9427,21365.27,22726.43,920861.93,2026-07-31
