portfolio_id,customer_id,mandate,risk_profile,account_type,benchmark,currency,inception_date,adviser_id,province,reg28_regulated,fee_bps,market_value_zar
PF00032,CUST179773,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2018-09-30,ADV022,Mpumalanga,1,70,5660963.13
PF00033,CUST107553,Property Focus,Moderate,Discretionary,SAPY,ZAR,2024-11-28,ADV023,Gauteng,0,100,6073862.0
PF00034,CUST041663,Money Market,Conservative,Discretionary,STeFI,ZAR,2018-06-22,ADV027,Gauteng,0,35,2611239.26
PF00035,CUST376110,Property Focus,Moderate,Discretionary,SAPY,ZAR,2015-08-24,ADV006,Limpopo,0,100,2630975.96
PF00036,CUST476551,Balanced Growth,Moderate,Tax-Free Savings,ALSI,ZAR,2017-07-28,ADV015,Gauteng,1,95,16001481.0
PF00037,CUST440475,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2022-03-20,ADV012,KwaZulu-Natal,0,105,6952092.01
PF00038,CUST415716,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2022-12-02,ADV018,KwaZulu-Natal,1,110,117316122.24
PF00039,CUST088517,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2020-04-23,ADV027,Western Cape,1,95,1628766.23
PF00040,CUST326161,Absolute Return,Moderate,Pension Fund,STeFI + 4%,ZAR,2024-07-10,ADV002,Gauteng,1,110,17622030.44
PF00041,CUST017738,Conservative Income,Conservative,Tax-Free Savings,ALBI,ZAR,2015-09-13,ADV012,Gauteng,1,70,18521910.45
PF00042,CUST267156,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2024-08-07,ADV016,Gauteng,0,105,32139629.14
PF00043,CUST075127,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2022-01-01,ADV027,Gauteng,1,110,3297563.55
PF00044,CUST151990,Money Market,Conservative,Living Annuity,STeFI,ZAR,2018-09-08,ADV022,Mpumalanga,0,35,7962015.1
PF00045,CUST004673,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2015-02-10,ADV011,Gauteng,1,110,13141763.46
PF00046,CUST444892,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2024-10-02,ADV002,Eastern Cape,1,120,2923924.04
PF00047,CUST300886,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2015-06-10,ADV019,Western Cape,1,105,22449888.88
PF00048,CUST078587,Property Focus,Moderate,Discretionary,SAPY,ZAR,2023-07-11,ADV014,Eastern Cape,0,100,35163730.81
PF00049,CUST261133,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2019-06-23,ADV022,Mpumalanga,1,100,45599332.01
PF00050,CUST431829,Property Focus,Moderate,Pension Fund,SAPY,ZAR,2018-11-14,ADV022,Mpumalanga,1,100,5586211.58
PF00051,CUST460862,Aggressive Equity,Aggressive,Pension Fund,SWIX,ZAR,2023-05-15,ADV007,KwaZulu-Natal,1,120,18539640.91
PF00052,CUST317644,Conservative Income,Conservative,Retirement Annuity,ALBI,ZAR,2018-09-07,ADV026,Limpopo,1,70,22322386.73
PF00053,CUST493165,Aggressive Equity,Aggressive,Tax-Free Savings,SWIX,ZAR,2019-09-22,ADV007,Western Cape,1,120,2684970.03
PF00054,CUST242045,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2020-12-02,ADV006,Western Cape,1,110,2953565.65
PF00055,CUST301226,Conservative Income,Conservative,Pension Fund,ALBI,ZAR,2023-11-19,ADV016,Free State,1,70,4795284.18
PF00056,CUST341819,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2023-06-19,ADV006,Eastern Cape,1,95,2164121.5
PF00057,CUST386772,Aggressive Equity,Aggressive,Discretionary,SWIX,ZAR,2018-11-18,ADV022,Free State,1,120,4887010.06
PF00058,CUST292441,Property Focus,Moderate,Discretionary,SAPY,ZAR,2017-09-04,ADV012,North West,0,100,44903241.15
PF00059,CUST211486,Absolute Return,Moderate,Endowment,STeFI + 4%,ZAR,2017-09-04,ADV006,Gauteng,1,110,859350.07
PF00060,CUST230551,Money Market,Conservative,Discretionary,STeFI,ZAR,2016-08-03,ADV015,KwaZulu-Natal,0,35,10448959.11
PF00061,CUST019285,Property Focus,Moderate,Discretionary,SAPY,ZAR,2025-12-12,ADV017,Gauteng,0,100,13502168.06
PF00062,CUST211747,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2024-03-31,ADV002,Western Cape,1,110,1031173.55
PF00063,CUST422852,Aggressive Equity,Aggressive,Tax-Free Savings,SWIX,ZAR,2017-08-15,ADV028,Gauteng,1,120,2282235.32
PF00064,CUST291205,Aggressive Equity,Aggressive,Living Annuity,SWIX,ZAR,2015-02-01,ADV006,Gauteng,1,120,21839397.85
PF00065,CUST068892,Absolute Return,Moderate,Tax-Free Savings,STeFI + 4%,ZAR,2022-08-08,ADV028,Western Cape,1,110,1061301.79
PF00066,CUST001192,Aggressive Equity,Aggressive,Pension Fund,SWIX,ZAR,2015-06-10,ADV002,North West,1,120,27334864.11
PF00067,CUST454483,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2015-03-14,ADV005,North West,0,105,6964313.02
PF00068,CUST341891,Conservative Income,Conservative,Retirement Annuity,ALBI,ZAR,2015-04-16,ADV017,Gauteng,1,70,13948187.7
PF00069,CUST497669,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2025-06-24,ADV012,North West,1,120,2195784.19
PF00070,CUST050821,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2017-08-13,ADV022,Gauteng,1,120,143892881.25
PF00071,CUST054026,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2017-06-24,ADV022,KwaZulu-Natal,1,105,6135739.02
PF00072,CUST469316,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2015-06-21,ADV015,Free State,1,95,2022596.8
PF00073,CUST398784,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2017-12-01,ADV028,Gauteng,1,95,6385844.53
PF00074,CUST034239,Aggressive Equity,Aggressive,Discretionary,SWIX,ZAR,2022-05-22,ADV001,Gauteng,1,120,18768105.66
PF00075,CUST146594,Balanced Growth,Moderate,Living Annuity,ALSI,ZAR,2020-06-07,ADV014,Western Cape,1,95,8610119.94
PF00076,CUST375873,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2016-02-16,ADV001,Gauteng,1,70,7338793.51
PF00077,CUST475711,Money Market,Conservative,Living Annuity,STeFI,ZAR,2016-08-24,ADV014,KwaZulu-Natal,0,35,5610357.96
PF00078,CUST296328,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2022-02-12,ADV018,Gauteng,1,110,24090414.16
PF00079,CUST041895,Property Focus,Moderate,Discretionary,SAPY,ZAR,2025-05-26,ADV013,Northern Cape,0,100,13835921.58
PF00080,CUST076083,Aggressive Equity,Aggressive,Endowment,SWIX,ZAR,2022-02-02,ADV028,Western Cape,1,120,11183015.01
PF00081,CUST404617,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2019-04-17,ADV023,Western Cape,1,100,13537489.46
PF00082,CUST255779,Property Focus,Moderate,Living Annuity,SAPY,ZAR,2015-05-06,ADV019,Gauteng,0,100,14759597.99
PF00083,CUST477002,Property Focus,Moderate,Discretionary,SAPY,ZAR,2022-07-08,ADV020,Mpumalanga,0,100,6448947.19
PF00084,CUST254197,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2017-01-18,ADV017,Gauteng,1,105,5319421.09
PF00085,CUST055726,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2021-05-20,ADV015,Western Cape,0,105,10777880.2
PF00086,CUST411426,Aggressive Equity,Aggressive,Discretionary,SWIX,ZAR,2018-12-18,ADV020,Gauteng,1,120,71432625.83
PF00087,CUST142398,Aggressive Equity,Aggressive,Discretionary,SWIX,ZAR,2022-07-15,ADV015,KwaZulu-Natal,1,120,3039230.32
PF00088,CUST215705,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2025-08-01,ADV009,Gauteng,0,105,23348792.83
PF00089,CUST223857,Balanced Growth,Moderate,Pension Fund,ALSI,ZAR,2016-12-30,ADV007,Gauteng,1,95,864507.75
PF00090,CUST482400,Balanced Growth,Moderate,Endowment,ALSI,ZAR,2023-02-03,ADV004,Western Cape,1,95,30465853.32
PF00091,CUST041065,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2024-12-15,ADV026,Gauteng,1,35,27058324.59
PF00092,CUST175911,Conservative Income,Conservative,Retirement Annuity,ALBI,ZAR,2018-12-27,ADV001,Eastern Cape,1,70,34227928.44
PF00093,CUST171156,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2016-09-09,ADV019,Gauteng,1,70,434040.6
PF00094,CUST064862,Property Focus,Moderate,Tax-Free Savings,SAPY,ZAR,2022-08-17,ADV011,Limpopo,0,100,8794253.13
PF00095,CUST239648,Balanced Growth,Moderate,Endowment,ALSI,ZAR,2015-07-23,ADV006,Gauteng,1,95,16674311.49
PF00096,CUST101720,Money Market,Conservative,Living Annuity,STeFI,ZAR,2021-12-18,ADV022,Western Cape,0,35,10458046.56
PF00097,CUST456862,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2021-08-13,ADV013,Western Cape,1,110,6377583.64
PF00098,CUST330338,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2015-03-20,ADV023,Western Cape,1,110,9130404.1
PF00099,CUST178078,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2017-07-13,ADV004,Eastern Cape,1,95,3324551.03
PF00100,CUST083952,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2020-12-19,ADV004,Western Cape,1,70,27359116.71
PF00101,CUST120690,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2022-11-11,ADV020,Gauteng,1,110,802354.95
PF00102,CUST137736,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2016-02-23,ADV002,Western Cape,1,110,6794021.13
PF00103,CUST201066,Property Focus,Moderate,Endowment,SAPY,ZAR,2016-01-06,ADV004,Gauteng,0,100,3474544.77
PF00104,CUST492577,Property Focus,Moderate,Tax-Free Savings,SAPY,ZAR,2017-05-19,ADV026,KwaZulu-Natal,0,100,9294324.52
PF00105,CUST476090,Conservative Income,Conservative,Retirement Annuity,ALBI,ZAR,2025-05-04,ADV022,Gauteng,1,70,2814948.78
PF00106,CUST002022,Aggressive Equity,Aggressive,Discretionary,SWIX,ZAR,2016-04-23,ADV015,Gauteng,1,120,12119714.26
PF00107,CUST380737,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2023-04-19,ADV020,Western Cape,1,35,30997813.13
PF00108,CUST239784,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2021-11-13,ADV020,Gauteng,1,95,2353477.38
PF00109,CUST483847,Balanced Growth,Moderate,Pension Fund,ALSI,ZAR,2024-09-06,ADV005,Mpumalanga,1,95,2682979.32
PF00110,CUST465467,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2021-04-24,ADV021,Gauteng,1,110,12706417.47
PF00111,CUST203264,Property Focus,Moderate,Pension Fund,SAPY,ZAR,2018-04-04,ADV015,Gauteng,1,100,9870258.14
PF00112,CUST459945,Absolute Return,Moderate,Tax-Free Savings,STeFI + 4%,ZAR,2019-09-26,ADV014,Limpopo,1,110,3293675.67
PF00113,CUST372647,Aggressive Equity,Aggressive,Living Annuity,SWIX,ZAR,2024-03-06,ADV005,Mpumalanga,1,120,19670273.21
PF00114,CUST438078,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2015-12-09,ADV019,Free State,1,110,66935206.29
PF00115,CUST246712,Money Market,Conservative,Tax-Free Savings,STeFI,ZAR,2020-05-18,ADV006,Western Cape,0,35,3094667.53
PF00116,CUST441456,Conservative Income,Conservative,Pension Fund,ALBI,ZAR,2024-10-14,ADV026,Gauteng,1,70,2494211.47
PF00117,CUST265002,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2019-02-17,ADV010,Western Cape,1,110,10167537.0
PF00118,CUST192663,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2019-11-21,ADV023,KwaZulu-Natal,1,110,3232731.62
PF00119,CUST224308,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2019-08-20,ADV003,KwaZulu-Natal,1,70,6391201.4
PF00120,CUST081441,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2016-11-14,ADV001,Northern Cape,1,100,5904146.09
PF00121,CUST325249,Aggressive Equity,Aggressive,Tax-Free Savings,SWIX,ZAR,2023-11-22,ADV022,Eastern Cape,1,120,4267722.98
PF00122,CUST487529,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2022-03-01,ADV013,Western Cape,0,105,12758871.79
PF00123,CUST175765,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2015-03-09,ADV017,Gauteng,0,105,7385537.65
PF00124,CUST204800,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2022-08-23,ADV012,KwaZulu-Natal,1,110,2722892.79
PF00125,CUST193902,Absolute Return,Moderate,Living Annuity,STeFI + 4%,ZAR,2019-08-07,ADV016,KwaZulu-Natal,1,110,10355384.96
PF00126,CUST123164,Money Market,Conservative,Discretionary,STeFI,ZAR,2023-09-23,ADV023,Gauteng,0,35,6093433.94
PF00127,CUST232640,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2024-06-23,ADV007,Gauteng,1,120,10772573.79
PF00128,CUST043302,Conservative Income,Conservative,Retirement Annuity,ALBI,ZAR,2015-02-25,ADV001,Limpopo,1,70,7279799.73
PF00129,CUST343983,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2019-09-11,ADV005,Limpopo,1,100,10614962.79
PF00130,CUST014962,Money Market,Conservative,Living Annuity,STeFI,ZAR,2016-04-12,ADV015,Gauteng,0,35,32805962.74
PF00131,CUST204021,Property Focus,Moderate,Pension Fund,SAPY,ZAR,2020-01-14,ADV026,Western Cape,1,100,3314885.81
PF00132,CUST258548,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2022-07-07,ADV016,Western Cape,1,110,6617157.33
PF00133,CUST160022,Balanced Growth,Moderate,Tax-Free Savings,ALSI,ZAR,2025-06-22,ADV011,Northern Cape,1,95,1172377.1
PF00134,CUST229783,Money Market,Conservative,Endowment,STeFI,ZAR,2017-11-28,ADV003,Gauteng,0,35,18877629.41
PF00135,CUST280649,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2025-12-06,ADV003,Gauteng,1,105,22007926.68
PF00136,CUST239747,Money Market,Conservative,Living Annuity,STeFI,ZAR,2017-11-05,ADV022,Free State,0,35,15298080.71
PF00137,CUST459605,Property Focus,Moderate,Discretionary,SAPY,ZAR,2021-02-03,ADV023,North West,0,100,8487796.94
PF00138,CUST387701,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2018-01-30,ADV025,Western Cape,1,100,3126718.83
PF00139,CUST202524,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2017-05-01,ADV026,Gauteng,0,105,489458.58
PF00140,CUST058476,Aggressive Equity,Aggressive,Living Annuity,SWIX,ZAR,2017-10-28,ADV008,Western Cape,1,120,15312495.58
PF00141,CUST003389,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2023-04-26,ADV023,Gauteng,1,110,11356231.27
PF00142,CUST047562,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2016-03-15,ADV002,Gauteng,1,105,18404695.33
PF00143,CUST177185,Aggressive Equity,Aggressive,Living Annuity,SWIX,ZAR,2024-05-20,ADV003,Gauteng,1,120,889514.12
PF00144,CUST047885,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2022-09-03,ADV007,Gauteng,1,95,3593357.37
PF00145,CUST011003,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2024-02-06,ADV012,Gauteng,1,95,1051636.87
PF00146,CUST443496,Property Focus,Moderate,Discretionary,SAPY,ZAR,2015-06-06,ADV014,Western Cape,0,100,5686348.47
PF00147,CUST345388,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2020-08-17,ADV026,KwaZulu-Natal,1,110,5523532.92
PF00148,CUST066693,Offshore Feeder,Aggressive,Living Annuity,MSCI World,ZAR,2021-12-05,ADV015,Gauteng,0,105,2111991.03
PF00149,CUST387641,Aggressive Equity,Aggressive,Endowment,SWIX,ZAR,2025-02-06,ADV006,Gauteng,1,120,10386138.12
PF00150,CUST168341,Money Market,Conservative,Discretionary,STeFI,ZAR,2019-05-04,ADV001,Western Cape,0,35,15172071.88
PF00151,CUST498864,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2017-10-17,ADV011,Gauteng,1,110,17754670.34
PF00152,CUST119183,Conservative Income,Conservative,Pension Fund,ALBI,ZAR,2021-05-05,ADV022,Gauteng,1,70,5525987.37
PF00153,CUST223901,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2021-02-02,ADV025,Gauteng,1,120,17151079.48
PF00154,CUST305371,Aggressive Equity,Aggressive,Pension Fund,SWIX,ZAR,2019-08-30,ADV022,Western Cape,1,120,7113991.89
PF00155,CUST451505,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2020-07-18,ADV014,Mpumalanga,1,35,1161618.78
PF00156,CUST337847,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2018-02-27,ADV025,Western Cape,0,105,2922411.33
PF00157,CUST056211,Absolute Return,Moderate,Living Annuity,STeFI + 4%,ZAR,2021-10-26,ADV022,Western Cape,1,110,3884810.28
PF00158,CUST021204,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2016-10-29,ADV028,Western Cape,0,105,6204914.39
PF00159,CUST350572,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2022-04-26,ADV026,Western Cape,1,105,25317893.45
PF00160,CUST224072,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2022-10-29,ADV020,Free State,1,105,4807636.67
PF00161,CUST423951,Aggressive Equity,Aggressive,Living Annuity,SWIX,ZAR,2016-05-14,ADV013,Free State,1,120,15021362.26
PF00162,CUST491104,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2017-12-23,ADV003,Gauteng,1,105,3654983.85
PF00163,CUST195774,Aggressive Equity,Aggressive,Living Annuity,SWIX,ZAR,2019-09-28,ADV023,KwaZulu-Natal,1,120,1652062.09
PF00164,CUST085106,Money Market,Conservative,Discretionary,STeFI,ZAR,2018-11-21,ADV020,Gauteng,0,35,10606036.8
PF00165,CUST430624,Balanced Growth,Moderate,Pension Fund,ALSI,ZAR,2022-01-05,ADV006,Gauteng,1,95,3722570.22
PF00166,CUST250656,Balanced Growth,Moderate,Tax-Free Savings,ALSI,ZAR,2017-01-16,ADV015,KwaZulu-Natal,1,95,61968201.86
PF00167,CUST252396,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2018-08-06,ADV014,Mpumalanga,1,70,2718002.44
PF00168,CUST476184,Aggressive Equity,Aggressive,Tax-Free Savings,SWIX,ZAR,2021-04-17,ADV019,Western Cape,1,120,60831615.16
PF00169,CUST021393,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2022-11-29,ADV010,Free State,1,35,15204294.15
PF00170,CUST473986,Conservative Income,Conservative,Endowment,ALBI,ZAR,2020-06-19,ADV005,Gauteng,1,70,67137526.13
PF00171,CUST459161,Conservative Income,Conservative,Endowment,ALBI,ZAR,2022-10-23,ADV024,Western Cape,1,70,9409471.74
PF00172,CUST006763,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2016-10-22,ADV016,Gauteng,1,35,9683991.79
PF00173,CUST384732,Conservative Income,Conservative,Tax-Free Savings,ALBI,ZAR,2023-11-28,ADV014,Western Cape,1,70,32081117.12
PF00174,CUST091547,Property Focus,Moderate,Discretionary,SAPY,ZAR,2019-02-09,ADV024,Western Cape,0,100,24452305.16
PF00175,CUST435185,Aggressive Equity,Aggressive,Discretionary,SWIX,ZAR,2019-03-18,ADV016,Gauteng,1,120,6692784.08
PF00176,CUST392456,Absolute Return,Moderate,Living Annuity,STeFI + 4%,ZAR,2016-10-17,ADV025,Gauteng,1,110,261194350.18
PF00177,CUST191180,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2018-07-24,ADV027,Gauteng,1,95,30083761.56
PF00178,CUST385276,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2024-02-05,ADV009,KwaZulu-Natal,1,105,340958342.38
PF00179,CUST128182,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2021-03-03,ADV020,Gauteng,1,100,15906646.24
PF00180,CUST279665,Money Market,Conservative,Living Annuity,STeFI,ZAR,2015-02-23,ADV023,Gauteng,0,35,7650139.06
PF00181,CUST455113,Money Market,Conservative,Endowment,STeFI,ZAR,2019-10-09,ADV010,Gauteng,0,35,67474903.24
PF00182,CUST177199,Balanced Growth,Moderate,Tax-Free Savings,ALSI,ZAR,2019-06-20,ADV012,Eastern Cape,1,95,86374706.64
PF00183,CUST287081,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2017-01-22,ADV014,Mpumalanga,1,105,10980429.05
PF00184,CUST317839,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2020-10-29,ADV011,Gauteng,1,95,9252702.22
PF00185,CUST043767,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2016-05-06,ADV011,Eastern Cape,1,105,2122955.27
PF00186,CUST349133,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2017-11-10,ADV004,Gauteng,1,100,7022120.37
PF00187,CUST193904,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2024-04-20,ADV009,Eastern Cape,1,70,12993002.03
PF00188,CUST346114,Property Focus,Moderate,Living Annuity,SAPY,ZAR,2024-05-09,ADV027,Gauteng,0,100,2706249.69
PF00189,CUST452040,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2020-04-29,ADV006,Gauteng,1,95,14550068.73
PF00190,CUST391665,Conservative Income,Conservative,Tax-Free Savings,ALBI,ZAR,2023-11-17,ADV004,Gauteng,1,70,26039493.26
PF00191,CUST151422,Conservative Income,Conservative,Retirement Annuity,ALBI,ZAR,2024-08-26,ADV010,Gauteng,1,70,2165933.01
PF00192,CUST210808,Property Focus,Moderate,Pension Fund,SAPY,ZAR,2018-12-01,ADV023,Eastern Cape,1,100,172493.96
PF00193,CUST142341,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2015-06-21,ADV027,Western Cape,1,120,15875125.95
PF00194,CUST279993,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2021-04-13,ADV001,Western Cape,0,105,69709432.29
PF00195,CUST442460,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2018-09-15,ADV028,KwaZulu-Natal,1,70,3799049.01
PF00196,CUST228698,Property Focus,Moderate,Discretionary,SAPY,ZAR,2025-07-07,ADV026,Western Cape,0,100,4848188.02
PF00197,CUST357764,Balanced Growth,Moderate,Pension Fund,ALSI,ZAR,2025-02-09,ADV002,Free State,1,95,23963591.15
