trade_id,portfolio_id,ticker,trade_date,side,units,price_cents,gross_value_zar,brokerage_zar,reason
TRD0000125,PF00024,SHP,2020-07-02,SELL,2031.6311,26883.73,546178.22,1911.62,Cash flow
TRD0000126,PF00024,NPN,2018-11-11,BUY,553.7738,3469.27,19211.91,67.24,Model change
TRD0000127,PF00024,CPI,2020-03-08,SELL,2661.0468,257696.34,6857420.21,24000.97,Cash flow
TRD0000128,PF00025,SOL,2019-03-17,SELL,138.2248,11061.64,15289.93,53.51,Rebalance
TRD0000129,PF00025,CFR,2026-05-09,SELL,1282.1082,25541.23,327466.2,1146.13,Rebalance
TRD0000130,PF00025,STXCLR,2018-12-07,BUY,381.969,5657.93,21611.54,75.64,Rebalance
TRD0000131,PF00025,R2032,2022-07-31,SELL,287.791,9138.12,26298.69,92.05,Rebalance
TRD0000132,PF00025,R2032,2025-03-06,SELL,1590.5247,9138.12,145344.06,508.7,Rebalance
TRD0000133,PF00025,SLM,2025-11-07,SELL,442.7798,8326.93,36869.96,129.04,Client instruction
TRD0000134,PF00026,MMKT,2018-10-25,BUY,732.6793,100.06,733.12,2.57,Rebalance
TRD0000135,PF00026,MMKT,2025-03-12,BUY,3987.1083,100.06,3989.5,13.96,Rebalance
TRD0000136,PF00027,R186,2023-02-05,BUY,2633.8982,10815.32,284864.52,997.03,Cash flow
TRD0000137,PF00027,ABG,2019-01-24,BUY,2110.4832,16930.75,357320.63,1250.62,Cash flow
TRD0000138,PF00027,MMKT,2022-02-05,BUY,2083.6145,100.06,2084.86,7.3,Client instruction
TRD0000139,PF00027,SLM,2025-07-23,BUY,2144.5396,8326.93,178574.31,625.01,Model change
TRD0000140,PF00028,GRT,2022-06-14,BUY,2859.9506,1347.17,38528.4,134.85,Model change
TRD0000141,PF00028,RDF,2025-08-22,BUY,589.5624,460.47,2714.76,9.5,Client instruction
TRD0000142,PF00029,MMKT,2026-06-28,SELL,1185.9554,105.16,1247.15,4.37,Rebalance
TRD0000143,PF00029,MMKT,2026-06-09,SELL,3605.9346,104.71,3775.77,13.22,Rebalance
TRD0000144,PF00029,MMKT,2025-11-22,BUY,1434.3939,100.25,1437.98,5.03,Cash flow
TRD0000145,PF00029,R2030,2025-09-19,BUY,575.4385,9431.05,54269.89,189.94,Client instruction
TRD0000146,PF00029,MMKT,2025-03-17,SELL,2724.1585,100.06,2725.79,9.54,Rebalance
TRD0000147,PF00029,R2030,2024-08-08,BUY,3253.8404,9431.05,306871.32,1074.05,Model change
TRD0000148,PF00030,STXCLR,2019-08-09,BUY,344.9747,5657.93,19518.43,68.31,Rebalance
TRD0000149,PF00030,APN,2023-09-18,SELL,3743.0436,19591.53,733319.51,2566.62,Model change
TRD0000150,PF00030,GRT,2019-05-31,SELL,450.9494,1347.17,6075.06,21.26,Rebalance
TRD0000151,PF00030,STX500,2018-05-29,SELL,2298.8344,12326.35,283362.37,991.77,Rebalance
TRD0000152,PF00030,STXWDM,2019-07-13,BUY,2601.0402,9827.33,255612.8,894.64,Model change
TRD0000153,PF00031,MMKT,2020-07-10,BUY,3143.5219,100.06,3145.41,11.01,Cash flow
TRD0000154,PF00031,R2032,2018-06-04,BUY,3341.1417,9138.12,305317.54,1068.61,Model change
TRD0000155,PF00031,BHG,2023-01-04,SELL,2165.9719,5003.75,108379.82,379.33,Rebalance
TRD0000156,PF00031,GFI,2017-10-17,BUY,963.1184,29659.61,285657.16,999.8,Cash flow
TRD0000157,PF00031,R2032,2019-11-30,BUY,1937.0202,9138.12,177007.23,619.53,Client instruction
TRD0000158,PF00031,STX500,2019-02-14,BUY,1151.4863,12326.35,141936.23,496.78,Model change
TRD0000159,PF00031,CPI,2025-12-31,SELL,2045.4407,260796.18,5334431.21,18670.51,Rebalance
TRD0000160,PF00031,RDF,2026-01-26,BUY,1145.4806,449.07,5144.01,18.0,Model change
TRD0000161,PF00032,R2030,2020-12-04,SELL,1085.7203,9431.05,102394.82,358.38,Client instruction
TRD0000162,PF00032,STX500,2026-07-02,SELL,3949.961,12909.54,509921.8,1784.73,Rebalance
TRD0000163,PF00032,PRX,2025-09-26,BUY,529.6064,1157.05,6127.81,21.45,Model change
TRD0000164,PF00033,CLS,2025-06-19,BUY,3760.2677,30390.78,1142774.68,3999.71,Rebalance
TRD0000165,PF00033,CLS,2025-12-30,SELL,576.5094,35152.08,202655.05,709.29,Client instruction
TRD0000166,PF00033,NPN,2026-05-19,BUY,1705.9123,3202.48,54631.5,191.21,Cash flow
TRD0000167,PF00034,MMKT,2025-10-03,SELL,1297.0907,100.06,1297.87,4.54,Client instruction
TRD0000168,PF00034,R186,2021-06-10,SELL,3365.1399,10815.32,363950.65,1273.83,Cash flow
TRD0000169,PF00035,EXX,2024-04-05,BUY,190.4012,15968.73,30404.65,106.42,Model change
TRD0000170,PF00035,ABG,2018-03-27,BUY,3922.043,16930.75,664031.3,2324.11,Rebalance
TRD0000171,PF00035,DSY,2019-04-03,BUY,3848.5896,17134.78,659447.36,2308.07,Model change
TRD0000172,PF00035,ASHGEQ,2024-06-11,SELL,310.779,7372.81,22913.15,80.2,Client instruction
TRD0000173,PF00035,GRT,2019-06-23,SELL,3005.5371,1347.17,40489.69,141.71,Cash flow
TRD0000174,PF00035,REM,2021-10-04,BUY,3693.7658,14033.65,518370.16,1814.3,Cash flow
TRD0000175,PF00036,NPN,2022-11-27,BUY,891.5116,3469.27,30928.94,108.25,Client instruction
TRD0000176,PF00036,MMKT,2023-01-25,BUY,1602.5738,100.06,1603.54,5.61,Rebalance
TRD0000177,PF00036,NPN,2019-02-04,SELL,1395.5487,3469.27,48415.35,169.45,Rebalance
TRD0000178,PF00037,SLM,2026-01-21,BUY,3168.1255,8041.41,254761.96,891.67,Model change
TRD0000179,PF00037,STXWDM,2025-08-05,BUY,1752.8215,9827.33,172255.55,602.89,Model change
TRD0000180,PF00038,EXX,2025-09-27,BUY,3997.4483,15968.73,638341.73,2234.2,Client instruction
TRD0000181,PF00038,ASHGEQ,2023-09-09,SELL,903.9072,7372.81,66643.36,233.25,Cash flow
TRD0000182,PF00039,STXCLR,2024-07-27,BUY,1146.4568,5657.93,64865.72,227.03,Cash flow
TRD0000183,PF00039,MMKT,2023-07-25,SELL,692.0221,100.06,692.44,2.42,Rebalance
TRD0000184,PF00039,ANG,2021-09-07,SELL,329.8076,42537.34,140291.38,491.02,Rebalance
TRD0000185,PF00039,VOD,2026-06-23,SELL,584.6311,10072.12,58884.75,206.1,Model change
TRD0000186,PF00039,STX500,2024-10-26,SELL,3954.7477,12326.35,487476.04,1706.17,Client instruction
TRD0000187,PF00039,BHG,2021-11-04,BUY,3348.3568,5003.75,167543.4,586.4,Model change
TRD0000188,PF00039,BVT,2025-12-23,SELL,1504.9804,27247.92,410075.86,1435.27,Rebalance
TRD0000189,PF00040,STXWDM,2026-07-14,BUY,2230.7913,11750.47,262128.46,917.45,Rebalance
TRD0000190,PF00040,MRP,2026-03-08,BUY,2934.6571,20259.85,594557.13,2080.95,Rebalance
TRD0000191,PF00040,R186,2025-03-16,BUY,1154.6233,10815.32,124876.2,437.07,Model change
TRD0000192,PF00040,RDF,2026-07-06,BUY,2213.4225,585.91,12968.66,45.39,Client instruction
TRD0000193,PF00040,WHL,2025-12-13,BUY,1244.6794,6235.53,77612.36,271.64,Cash flow
TRD0000194,PF00040,GRT,2025-09-18,BUY,404.831,1347.17,5453.76,19.09,Rebalance
TRD0000195,PF00041,SBK,2020-02-17,BUY,1642.2885,21073.95,346095.06,1211.33,Cash flow
TRD0000196,PF00041,SBK,2023-01-25,SELL,1272.89,21073.95,268248.2,938.87,Client instruction
TRD0000197,PF00041,MMKT,2024-11-03,BUY,1884.426,100.06,1885.56,6.6,Rebalance
TRD0000198,PF00041,R2040,2021-04-08,BUY,346.5177,8277.83,28684.15,100.39,Cash flow
TRD0000199,PF00041,GRT,2025-02-06,SELL,1440.3273,1347.17,19403.66,67.91,Rebalance
TRD0000200,PF00041,SLM,2024-04-30,BUY,154.6967,8326.93,12881.49,45.09,Rebalance
TRD0000201,PF00041,SBK,2025-04-01,SELL,1484.6376,21073.95,312871.79,1095.05,Client instruction
TRD0000202,PF00041,STX500,2017-12-20,SELL,1594.0625,12326.35,196489.72,687.71,Cash flow
TRD0000203,PF00042,R2032,2025-11-04,SELL,2679.5572,9138.12,244861.15,857.01,Rebalance
TRD0000204,PF00042,DSY,2025-09-04,BUY,942.0193,17134.78,161412.93,564.95,Client instruction
TRD0000205,PF00042,R186,2025-04-14,BUY,2863.6778,10815.32,309715.92,1084.01,Client instruction
TRD0000206,PF00043,PRX,2023-03-14,SELL,624.7977,1157.05,7229.22,25.3,Client instruction
TRD0000207,PF00043,STXWDM,2024-05-18,SELL,1864.1304,9827.33,183194.25,641.18,Rebalance
TRD0000208,PF00043,MMKT,2025-12-07,SELL,2155.7047,100.4,2164.33,7.58,Client instruction
TRD0000209,PF00043,STXWDM,2024-06-02,BUY,505.653,9827.33,49692.19,173.92,Client instruction
TRD0000210,PF00043,PRX,2025-11-01,BUY,1089.2535,1157.05,12603.21,44.11,Client instruction
TRD0000211,PF00043,STXWDM,2023-09-01,BUY,3005.5082,9827.33,295361.21,1033.76,Rebalance
TRD0000212,PF00043,R2040,2024-07-06,BUY,298.0818,8277.83,24674.7,86.36,Rebalance
TRD0000213,PF00044,MMKT,2022-01-28,BUY,661.3913,100.06,661.79,2.32,Model change
TRD0000214,PF00044,R2030,2020-06-05,BUY,3648.7247,9431.05,344113.05,1204.4,Client instruction
TRD0000215,PF00044,R2030,2020-07-12,SELL,1135.9916,9431.05,107135.94,374.98,Rebalance
TRD0000216,PF00044,MMKT,2023-09-22,SELL,3362.8066,100.06,3364.82,11.78,Model change
TRD0000217,PF00044,R2030,2025-12-24,BUY,1428.3352,9772.67,139586.49,488.55,Rebalance
TRD0000218,PF00044,R2030,2023-11-18,SELL,995.7464,9431.05,93909.34,328.68,Rebalance
TRD0000219,PF00045,GRT,2016-04-26,SELL,324.8477,1347.17,4376.25,15.32,Client instruction
TRD0000220,PF00045,STXCLR,2016-08-27,BUY,810.8806,5657.93,45879.06,160.58,Model change
TRD0000221,PF00046,OMU,2025-08-08,SELL,2194.198,1234.94,27097.03,94.84,Client instruction
TRD0000222,PF00046,BVT,2025-09-13,SELL,854.8943,27107.43,231739.87,811.09,Rebalance
TRD0000223,PF00046,MMKT,2025-01-30,SELL,1220.0419,100.06,1220.77,4.27,Rebalance
TRD0000224,PF00046,NPN,2025-05-03,BUY,3856.6442,3469.27,133797.4,468.29,Rebalance
TRD0000225,PF00046,BVT,2024-12-19,BUY,2727.2826,27107.43,739296.22,2587.54,Cash flow
TRD0000226,PF00046,BVT,2026-02-25,BUY,2718.1743,27319.41,742589.18,2599.06,Model change
TRD0000227,PF00046,NPN,2024-11-22,BUY,589.8808,3469.27,20464.56,71.63,Cash flow
TRD0000228,PF00046,STXWDM,2024-12-10,SELL,2044.2906,9827.33,200899.18,703.15,Client instruction
TRD0000229,PF00046,BVT,2026-02-12,BUY,2486.0073,26357.14,655240.42,2293.34,Model change
TRD0000230,PF00047,STX40,2022-10-17,SELL,3523.8651,8620.53,303775.85,1063.22,Rebalance
TRD0000231,PF00047,R2040,2023-11-15,BUY,267.3501,8277.83,22130.79,77.46,Rebalance
TRD0000232,PF00047,STX40,2025-06-13,BUY,2548.5352,8620.53,219697.24,768.94,Cash flow
TRD0000233,PF00048,SSW,2024-09-09,SELL,387.4976,2175.11,8428.5,29.5,Client instruction
TRD0000234,PF00048,BVT,2026-05-05,BUY,2188.2892,24790.18,542480.83,1898.68,Model change
TRD0000235,PF00048,STX40,2025-05-03,BUY,1971.0764,8620.53,169917.23,594.71,Client instruction
TRD0000236,PF00049,GRT,2022-08-22,SELL,3350.7763,1347.17,45140.65,157.99,Rebalance
TRD0000237,PF00049,ABG,2023-09-11,BUY,1674.3118,16930.75,283473.55,992.16,Rebalance
TRD0000238,PF00050,R2040,2022-05-01,BUY,3669.5064,8277.83,303755.5,1063.14,Client instruction
TRD0000239,PF00050,MMKT,2019-05-12,BUY,1567.1391,100.06,1568.08,5.49,Model change
TRD0000240,PF00051,GRT,2023-08-13,SELL,3022.8317,1347.17,40722.68,142.53,Cash flow
TRD0000241,PF00052,BVT,2019-12-14,BUY,2610.8086,27107.43,707723.11,2477.03,Model change
TRD0000242,PF00052,CFR,2023-11-18,SELL,497.9626,25898.78,128966.24,451.38,Model change
TRD0000243,PF00052,ASHGEQ,2021-07-15,BUY,3585.9992,7372.81,264388.91,925.36,Client instruction
TRD0000244,PF00052,BVT,2023-12-07,SELL,3966.9706,27107.43,1075343.78,3763.7,Rebalance
TRD0000245,PF00052,R2035,2023-08-08,BUY,3605.2716,8694.78,313470.43,1097.15,Client instruction
TRD0000246,PF00052,CPI,2020-01-12,BUY,3421.0718,257696.34,8815976.82,30855.92,Cash flow
TRD0000247,PF00052,CPI,2024-05-01,BUY,1030.6229,257696.34,2655877.49,9295.57,Model change
TRD0000248,PF00052,MMKT,2019-03-05,BUY,1079.4458,100.06,1080.09,3.78,Rebalance
TRD0000249,PF00053,APN,2021-08-09,BUY,1626.2308,19591.53,318603.5,1115.11,Rebalance
TRD0000250,PF00053,RDF,2020-12-08,SELL,3718.3004,460.47,17121.66,59.93,Model change
TRD0000251,PF00053,SLM,2021-11-23,SELL,2906.5513,8326.93,242026.49,847.09,Cash flow
TRD0000252,PF00053,SSW,2023-12-09,BUY,941.8537,2175.11,20486.35,71.7,Rebalance
TRD0000253,PF00053,R2035,2023-05-11,BUY,2848.2641,8694.78,247650.3,866.78,Model change
TRD0000254,PF00053,SSW,2024-10-03,BUY,3291.0638,2175.11,71584.26,250.54,Client instruction
TRD0000255,PF00053,SLM,2024-07-18,SELL,3802.4962,8326.93,316631.2,1108.21,Model change
TRD0000256,PF00053,RDF,2022-05-24,SELL,582.665,460.47,2683.0,9.39,Client instruction
TRD0000257,PF00053,MMKT,2024-04-08,BUY,2228.1921,100.06,2229.53,7.8,Cash flow
TRD0000258,PF00054,MRP,2021-07-01,SELL,1295.0947,21399.8,277147.68,970.02,Rebalance
TRD0000259,PF00054,APN,2023-02-07,BUY,161.4724,19591.53,31634.91,110.72,Client instruction
TRD0000260,PF00054,ASHGEQ,2024-06-24,BUY,606.4737,7372.81,44714.15,156.5,Rebalance
TRD0000261,PF00054,SSW,2023-04-15,SELL,1858.7203,2175.11,40429.21,141.5,Cash flow
TRD0000262,PF00055,SBK,2024-03-12,BUY,858.2395,21073.95,180864.96,633.03,Model change
TRD0000263,PF00055,MMKT,2025-11-05,BUY,3057.4054,100.06,3059.24,10.71,Client instruction
TRD0000264,PF00055,STX500,2024-05-10,SELL,1525.4912,12326.35,188037.38,658.13,Cash flow
