alert_id,alert_date,customer_id,account_id,transaction_id,fraud_type,alert_source,risk_score,alert_priority,loss_amount,recovery_amount,net_loss,alert_status,days_to_resolve,analyst_id
34b6ae7f-1561-4d5e-a6f0-4c742f4bcd74,2020-07-17,bb4b966f-c9d1-49ed-adbe-f79b6e180848,52882b60-b4ef-4bf3-be32-888324343fe6,b27e5eac-e5ed-4ba9-8038-64e933801226,Card Not Present,Rules Engine,16,Low,0.0,0.0,0.0,Open,0,ANL135
f052db36-c790-4f08-b081-b2efbcef9ff8,2022-07-09,f560a11f-0a60-4875-a976-a07c45530d17,f5ef6ade-c074-4022-94a9-900ab3e63a91,da19b1e0-62a9-434c-87bd-d2b9bc76d99f,Card Not Present,ML Model,3,Low,0.0,0.0,0.0,False Positive,78,ANL927
13fc92e3-01bf-49b4-b04b-37c2703aae42,2020-02-18,10b0d54d-7f2f-49c8-9745-65aa60900f70,41dd50ab-81a4-4595-9e75-d284f3f1bd65,7d5d0e87-22d1-472a-b98d-01a325e58019,Identity Fraud,Rules Engine,25,Low,0.0,0.0,0.0,False Positive,6,ANL489
644a23e9-6555-4101-99fa-54d01c26ac4a,2017-11-04,aabcc99d-15c7-42bc-969c-dae285cb001e,b84038fb-ab05-45ae-bf42-0b064b9a7fb2,8d8bae98-dc6c-47c6-8328-1011fdec8210,Card Not Present,ML Model,51,Medium,0.0,0.0,0.0,Open,0,ANL357
cbb28b13-6a38-4711-8573-6246ba6f54bc,2021-10-20,27cf3535-ec87-4531-ae61-98411ccdf94e,7ea5ed57-a592-421a-af3b-f1c649210871,5c4a6a47-6e7f-4d36-b169-69468f4cfbb3,Account Takeover,Customer Report,80,High,0.0,0.0,0.0,False Positive,60,ANL916
5c913121-3c1f-4bdb-83cc-1f28c5592a51,2020-05-15,c8820851-2ec7-4e56-bd06-b18baf89be0c,d7a05534-7f85-46f9-83b1-f2fe1a243b3b,0246c849-d801-4104-9fdd-cd00d10951dd,Account Takeover,Rules Engine,20,Low,0.0,0.0,0.0,False Positive,81,ANL399
cd5cc158-cfda-43d1-80de-04a4f75839a2,2016-06-08,010cbbdf-ca53-421b-91d3-b182b9531708,bf8cac5f-dc55-4b58-9a74-a337e8826ca8,443b0aa8-52ec-4e93-aefe-d85f599798de,Identity Fraud,Rules Engine,53,Medium,0.0,0.0,0.0,False Positive,46,ANL150
cb2a4bea-84bb-45e3-8ee8-86565278b87f,2015-12-23,0f365b68-bb19-4fe7-8ba6-11bf8ee9517b,4b095387-f55c-4197-9aca-a60ea7fe0287,07df7ddd-de78-4cbf-9a83-f6c7b5b25ee2,Card Not Present,Rules Engine,75,High,0.0,0.0,0.0,Closed,70,ANL756
805c4129-0484-444f-a1fb-de3ba3977c7f,2024-02-25,7f87ebe9-3e20-4ae7-a1bb-7ccf7e95daad,7e65a038-eed2-47de-8327-3db48927db50,6f043cd4-8dde-4b5f-8e83-1fe26d23d56c,Card Not Present,ML Model,50,Medium,0.0,0.0,0.0,Open,0,ANL345
69cafc7e-adc6-4789-91f8-d9df9bd12888,2017-04-02,e48bf09c-1d7e-4a66-9946-31e8e782c08e,7120625f-8f83-463d-86c2-61f078fe07f4,8563924d-7f1a-4259-817e-0b21f92b59d1,Phishing,Rules Engine,45,Medium,53174.19,17913.13,35261.06,Confirmed Fraud,12,ANL939
4c7e5cea-58ec-4bdd-9cd1-770b19e07087,2015-06-23,4899ed45-9c58-43fc-a9b1-110f1e0da786,f05d9336-b654-4c4f-83df-fc3689201a88,17d2510f-5434-4b84-a72c-fc82aaa5fd19,Card Not Present,Rules Engine,65,High,0.0,0.0,0.0,Closed,77,ANL806
ce8eba78-de8e-4716-a305-040839c5c862,2023-01-26,29de0f00-71e0-4673-9a83-7340a28f9433,6b72653b-95f5-4f30-a1a9-590a82e01634,7fde67ad-f570-4d2a-8a8a-0329babd62bb,Card Not Present,ML Model,45,Medium,0.0,0.0,0.0,False Positive,75,ANL971
ebfd2b01-65de-4c8f-86ee-96fe04fe9cc1,2019-07-20,9ec1fa1b-150e-4929-9302-27b04c992487,34abf91f-bc3e-4ff3-af77-1c9f7990d7e5,957b485d-03a8-4238-9424-de7fb410c963,Card Not Present,Customer Report,100,Critical,0.0,0.0,0.0,Under Investigation,0,ANL425
32cfbcd0-d784-48a7-a07f-1a789ed5f9d0,2020-11-16,3d67fcbd-6beb-4aed-b77d-5e1e53dd0cb2,517a547b-3a6f-48e8-a0af-fbd5519d09ae,645b1974-4147-47a7-956f-c8b8de191b0b,Identity Fraud,Rules Engine,16,Low,0.0,0.0,0.0,Open,0,ANL267
8448ce85-aaef-4667-9475-cb24e3daddee,2018-11-29,a254cce0-f0f6-4979-bc16-bdd50b601ff9,f4b2c3f6-6662-4cb2-8054-521e6c86a177,99131b8b-3269-4909-9b38-ea6d4e200fc2,Card Not Present,Rules Engine,75,High,0.0,0.0,0.0,Open,0,ANL147
b4745f78-429b-4b49-808f-1b38c2d9cfb3,2019-11-11,8931f44e-bcba-4267-9d91-cf99c1259d56,e82bd9bc-f193-4d8a-b1d3-dc5d8cff2b5d,60b7a26c-61db-4c5c-877b-91e0c5a3ebe1,Account Takeover,Staff Report,85,High,0.0,0.0,0.0,Under Investigation,0,ANL818
2cbf6611-e1b1-402c-8400-c91f23eee4dc,2021-01-22,fd250f7b-e79e-409d-82f0-7d0f61426f0b,16ba55ca-e80c-4b37-90bc-e750491e50c7,62c0ea77-80d2-4029-9542-51ab240943b8,Internal Fraud,ML Model,42,Medium,81904.55,7219.8,74684.75,Confirmed Fraud,59,ANL360
99b8f13c-e22e-4cf0-a81d-3a9c3e0b77de,2015-06-10,14407c92-24a5-4b5f-9183-82abcbe690e4,82fa8ab9-24e2-490b-bacc-e9c122ee0ff1,12071675-52da-4213-ab09-e9d6e21c65a8,Card Not Present,ML Model,16,Low,113783.79,49475.11,64308.68,Confirmed Fraud,58,ANL354
43ec99b7-8472-4219-b8e5-48fac0c5d536,2019-02-24,82342e76-2880-4405-b49b-784e5cede8db,ca249104-4b9d-4bd5-9090-d1efb99e24e6,c3aeb7be-e4f2-4183-ad55-78ad8ace2040,Other,Rules Engine,40,Low,0.0,0.0,0.0,False Positive,51,ANL230
5ead7a4a-0e3d-4e7f-83c4-008407add140,2016-06-03,b0d6b70d-63ae-466a-bc5d-dcd27e6a5966,4b389b8e-191b-4ccc-ab1d-cbebcd339351,55d8430d-a588-4f26-a137-576eefc993fc,Identity Fraud,Rules Engine,60,Medium,0.0,0.0,0.0,False Positive,75,ANL357
70748c7f-c91e-49a9-b125-16fe50179aee,2017-03-03,45227561-c40f-42ef-9f27-41dac382ddb1,69acb24c-5a50-46be-81f4-68ec74e8fd58,ae4d2ce4-86f7-4d29-8177-6fe4bee35e44,Internal Fraud,ML Model,43,Medium,0.0,0.0,0.0,Closed,81,ANL172
7c497110-3944-4ba2-ae4c-abc47851e7c5,2022-06-15,92c6dc2b-7b16-4fd7-a618-1e8f1015a418,d06d528d-2d06-49a3-af59-82457cca51dc,8582cdae-16b5-4eff-8267-ed64c974fc70,Identity Fraud,ML Model,93,Critical,0.0,0.0,0.0,Under Investigation,0,ANL752
b072dbf2-0142-4a88-b0c3-16ab280ec0ce,2023-06-20,f560a11f-0a60-4875-a976-a07c45530d17,ed910950-c85a-4010-8170-3428030ff375,a28d29fa-5594-4f38-914b-e07e250a0be9,Identity Fraud,Rules Engine,49,Medium,0.0,0.0,0.0,Under Investigation,0,ANL592
ad564cf8-431e-4ca0-bcc8-f4d97bb03970,2015-09-26,c77092ad-e107-4373-89eb-0a50e994a500,0e3b8097-ce34-4e25-8620-48a7c6ce0cb3,c2672488-6215-42a2-a7d3-914a5eb2046a,Card Not Present,Customer Report,55,Medium,0.0,0.0,0.0,Open,0,ANL822
da200570-ada5-496e-8cf5-5e3cc55d436e,2017-01-18,2949a668-9ea3-4b41-9f9a-136b86be274f,d0ae0e85-7872-4b7e-9efd-3b2c29c79be0,895552cd-b5b6-446e-9f65-35ec22ddf72e,Account Takeover,ML Model,61,Medium,0.0,0.0,0.0,Closed,11,ANL464
3ada9f6f-7a1a-4540-bb63-e570480e20b9,2024-12-26,3d86d943-61bb-4eb8-bc52-e8468a7b8ea8,ea015bf1-17f5-4e65-b20c-70edcd91274c,81eec17f-c899-4b20-a642-059185a7bc27,Card Not Present,ML Model,13,Low,148551.08,52605.89,95945.19,Confirmed Fraud,61,ANL514
dd85e010-1699-4e60-97a2-287a5349a79c,2022-11-18,aa5b3d75-e648-47ad-ade0-0b9e530ca808,d68580d2-e8fd-4e67-b022-18ba09b806a5,9d08d779-1217-4ab8-beb9-58e47a9ee4c4,Account Takeover,ML Model,96,Critical,92220.77,8878.9,83341.87,Confirmed Fraud,81,ANL144
fe8e159a-e3c4-42e7-8600-a27a0d733d8d,2019-11-09,0b719cd2-7a5a-498e-93cd-85ee7b521bff,a05f7fb2-4f39-4fe5-8c1b-c43f478c4ac8,91d158fd-da82-4e1d-b860-cccaee05aca7,Identity Fraud,ML Model,40,Medium,0.0,0.0,0.0,False Positive,69,ANL223
512c694b-9d51-4163-b381-6698e5486041,2021-08-12,9ea34091-686a-455c-b717-750778b00e4e,1e53b0a6-0291-4e94-a0a2-29e0e92309fe,cbf010be-7e83-4dd4-b1f4-81c172acf80e,Internal Fraud,ML Model,26,Low,0.0,0.0,0.0,Open,0,ANL939
5fade804-6354-4232-8d90-9636f9626d92,2024-02-23,796496b2-fedc-473f-b0ad-08543529cc77,423de861-8dcb-4be4-8534-03a6a3433e9c,35c665f0-6438-456f-b840-bd4bc4170366,Card Not Present,Staff Report,82,High,0.0,0.0,0.0,False Positive,57,ANL889
3454a97a-cdca-488e-abff-3e9d0c95c573,2023-10-17,987c9523-819c-4f0d-bd70-b63e7dc303d2,b44e995e-8be9-446f-933a-505367f85c16,1b0e7526-0f1a-40bb-9733-f3f574a41074,Account Takeover,ML Model,20,Low,0.0,0.0,0.0,False Positive,62,ANL974
fda5c8bb-f110-4843-85e4-4dcff229d82a,2019-11-30,e8cd891b-d14c-4b29-993a-3fe065cc8842,24aa01ba-7ef5-41ed-a6c8-d2f6607f7334,d817ddae-eb97-4186-9fd0-1f320915256b,Card Not Present,Rules Engine,8,Low,149828.53,20550.86,129277.67,Confirmed Fraud,59,ANL804
7481f5aa-e9d9-43ee-b034-26cff51c5807,2022-06-14,c642863a-b5db-4a27-a064-b2f335477dce,8e22453b-2b42-47dd-8189-41c7aee22c34,081f0ece-0cfd-499a-8b51-401c05494214,Card Not Present,Rules Engine,89,Critical,0.0,0.0,0.0,False Positive,74,ANL151
